game_id,date,away_f5,home_f5,f5_home_win
718780,2023-03-30,4,2,0
718781,2023-03-30,0,3,1
718782,2023-03-30,8,2,0
718777,2023-03-30,0,4,1
718776,2023-03-30,0,1,1
718779,2023-03-30,6,11,1
718773,2023-03-30,4,4,
718772,2023-03-30,5,5,
718775,2023-03-30,0,0,
718774,2023-03-30,1,0,0
718768,2023-03-30,0,0,
718778,2023-03-30,4,2,0
718769,2023-03-30,1,0,0
718770,2023-03-30,2,5,1
718767,2023-03-30,0,0,
718771,2023-03-31,0,1,1
718764,2023-03-31,1,0,0
718766,2023-03-31,4,0,0
718765,2023-03-31,0,0,
718763,2023-03-31,8,4,0
718760,2023-04-01,3,3,
718759,2023-04-01,0,3,1
718758,2023-04-01,0,0,
718752,2023-04-01,3,7,1
718753,2023-04-01,5,0,0
718762,2023-04-01,3,3,
718757,2023-04-01,11,1,0
718761,2023-04-01,8,5,0
718756,2023-04-01,2,3,1
718754,2023-04-01,1,10,1
718751,2023-04-01,1,0,0
718755,2023-04-01,4,2,0
718750,2023-04-01,1,5,1
718749,2023-04-01,1,8,1
718746,2023-04-01,1,0,0
718742,2023-04-02,0,1,1
718748,2023-04-02,3,6,1
718743,2023-04-02,1,4,1
718747,2023-04-02,0,4,1
718744,2023-04-02,1,3,1
718741,2023-04-02,4,1,0
718745,2023-04-02,2,1,0
718740,2023-04-02,1,0,0
718737,2023-04-02,3,9,1
718738,2023-04-02,3,2,0
718734,2023-04-02,6,0,0
718736,2023-04-02,1,1,
718733,2023-04-02,0,3,1
718735,2023-04-02,4,5,1
718739,2023-04-02,1,2,1
718731,2023-04-03,0,10,1
718730,2023-04-03,7,0,0
718728,2023-04-03,6,7,1
718729,2023-04-03,8,1,0
718732,2023-04-03,4,0,0
718725,2023-04-03,1,8,1
718724,2023-04-03,7,5,0
718719,2023-04-03,1,7,1
718727,2023-04-03,6,3,0
718726,2023-04-03,2,0,0
718723,2023-04-03,4,4,
718721,2023-04-03,5,8,1
718722,2023-04-03,2,3,1
718720,2023-04-03,4,3,0
718718,2023-04-03,4,9,1
718717,2023-04-04,1,5,1
718716,2023-04-04,1,3,1
718714,2023-04-04,0,1,1
718715,2023-04-04,4,5,1
718710,2023-04-04,4,0,0
718713,2023-04-04,3,1,0
718708,2023-04-04,2,1,0
718712,2023-04-04,0,2,1
718711,2023-04-04,4,1,0
718709,2023-04-04,7,1,0
718705,2023-04-04,2,2,
718707,2023-04-04,3,2,0
718706,2023-04-04,0,8,1
718703,2023-04-04,0,4,1
718704,2023-04-05,3,2,0
718699,2023-04-05,0,1,1
718701,2023-04-05,0,1,1
718697,2023-04-05,5,0,0
718702,2023-04-05,1,0,0
718698,2023-04-05,6,6,
718694,2023-04-05,2,2,
718696,2023-04-05,1,4,1
718695,2023-04-05,1,4,1
718689,2023-04-05,0,0,
718691,2023-04-05,2,1,0
718692,2023-04-05,0,0,
718690,2023-04-06,2,3,1
718686,2023-04-06,5,0,0
718687,2023-04-06,8,3,0
718682,2023-04-06,0,1,1
718681,2023-04-06,3,4,1
718683,2023-04-06,3,0,0
718693,2023-04-07,0,3,1
718675,2023-04-07,0,1,1
718685,2023-04-07,1,2,1
718688,2023-04-07,3,4,1
718677,2023-04-07,2,3,1
718684,2023-04-07,1,0,0
718679,2023-04-07,7,12,1
718680,2023-04-07,2,1,0
718678,2023-04-07,3,8,1
718676,2023-04-07,4,4,
718674,2023-04-07,0,2,1
718673,2023-04-07,8,2,0
718670,2023-04-07,1,3,1
718671,2023-04-07,3,2,0
718666,2023-04-08,4,4,
718672,2023-04-08,0,4,1
718669,2023-04-08,1,3,1
718668,2023-04-08,1,0,0
718667,2023-04-08,8,2,0
718665,2023-04-08,0,5,1
718661,2023-04-08,0,3,1
718663,2023-04-08,3,1,0
718662,2023-04-08,6,4,0
718664,2023-04-08,4,1,0
718660,2023-04-08,6,0,0
718659,2023-04-08,3,0,0
718656,2023-04-08,5,7,1
718658,2023-04-08,5,1,0
718657,2023-04-08,5,7,1
718652,2023-04-09,2,4,1
718654,2023-04-09,2,1,0
718655,2023-04-09,0,7,1
718653,2023-04-09,0,1,1
718651,2023-04-09,4,0,0
718646,2023-04-09,2,1,0
718647,2023-04-09,6,2,0
718649,2023-04-09,4,1,0
718650,2023-04-09,1,3,1
718642,2023-04-09,5,2,0
718645,2023-04-09,3,3,
718643,2023-04-09,1,0,0
718644,2023-04-09,0,6,1
718639,2023-04-09,3,11,1
718648,2023-04-09,8,1,0
718640,2023-04-10,4,3,0
718637,2023-04-10,2,2,
718635,2023-04-10,1,3,1
718632,2023-04-10,7,2,0
718638,2023-04-10,0,0,
718633,2023-04-10,0,9,1
718634,2023-04-10,0,2,1
718636,2023-04-10,0,0,
718628,2023-04-10,1,2,1
718630,2023-04-10,1,4,1
718629,2023-04-10,2,4,1
718631,2023-04-10,5,4,0
718627,2023-04-10,0,3,1
718641,2023-04-10,4,1,0
718626,2023-04-11,8,2,0
718618,2023-04-11,7,6,0
718623,2023-04-11,2,2,
718625,2023-04-11,0,5,1
718619,2023-04-11,1,0,0
718622,2023-04-11,3,4,1
718621,2023-04-11,2,1,0
718620,2023-04-11,4,6,1
718617,2023-04-11,8,11,1
718616,2023-04-11,2,3,1
718615,2023-04-11,2,3,1
718613,2023-04-11,2,6,1
718614,2023-04-11,0,1,1
718611,2023-04-11,0,0,
718624,2023-04-11,0,2,1
718608,2023-04-12,2,0,0
718610,2023-04-12,2,3,1
718605,2023-04-12,0,1,1
718604,2023-04-12,2,3,1
718606,2023-04-12,2,1,0
718607,2023-04-12,3,2,0
718598,2023-04-12,0,5,1
718609,2023-04-12,1,2,1
718602,2023-04-12,2,2,
718599,2023-04-12,4,2,0
718600,2023-04-12,3,8,1
718603,2023-04-12,1,1,
718601,2023-04-12,3,3,
718595,2023-04-12,6,1,0
718612,2023-04-12,3,3,
718596,2023-04-13,7,7,
718594,2023-04-13,3,8,1
718597,2023-04-13,2,5,1
718590,2023-04-13,11,1,0
718593,2023-04-13,2,1,0
718591,2023-04-13,0,0,
718589,2023-04-13,3,1,0
718585,2023-04-14,1,4,1
718586,2023-04-14,5,1,0
718584,2023-04-14,0,5,1
718592,2023-04-14,0,3,1
718588,2023-04-14,0,2,1
718587,2023-04-14,1,6,1
718580,2023-04-14,2,3,1
718583,2023-04-14,0,1,1
718581,2023-04-14,5,2,0
718579,2023-04-14,8,3,0
718582,2023-04-14,0,0,
718578,2023-04-14,12,4,0
718574,2023-04-14,7,1,0
718575,2023-04-14,3,1,0
718577,2023-04-14,1,5,1
718572,2023-04-15,0,4,1
718571,2023-04-15,6,3,0
718570,2023-04-15,1,2,1
718568,2023-04-15,2,2,
718569,2023-04-15,1,3,1
718573,2023-04-15,5,4,0
718560,2023-04-15,3,5,1
718565,2023-04-15,1,2,1
718576,2023-04-15,6,6,
718566,2023-04-15,0,8,1
718563,2023-04-15,5,2,0
718567,2023-04-15,1,1,
718562,2023-04-15,2,3,1
718564,2023-04-15,1,0,0
718561,2023-04-15,1,5,1
718559,2023-04-16,1,2,1
718555,2023-04-16,4,3,0
718557,2023-04-16,0,1,1
718556,2023-04-16,7,1,0
718554,2023-04-16,12,3,0
718550,2023-04-16,1,0,0
718551,2023-04-16,4,1,0
718553,2023-04-16,3,4,1
718548,2023-04-16,2,1,0
718546,2023-04-16,1,1,
718547,2023-04-16,1,1,
718545,2023-04-16,0,0,
718549,2023-04-16,1,0,0
718552,2023-04-16,0,0,
718540,2023-04-17,5,1,0
718542,2023-04-17,0,4,1
718544,2023-04-17,3,1,0
718539,2023-04-17,4,0,0
718538,2023-04-17,1,0,0
718537,2023-04-17,1,8,1
718535,2023-04-17,13,1,0
718536,2023-04-17,6,1,0
718533,2023-04-17,2,0,0
718534,2023-04-17,3,1,0
718532,2023-04-17,5,5,
718530,2023-04-18,3,3,
718541,2023-04-18,0,0,
718525,2023-04-18,5,4,0
718543,2023-04-18,0,3,1
718526,2023-04-18,8,0,0
718528,2023-04-18,2,4,1
718531,2023-04-18,1,0,0
718529,2023-04-18,5,2,0
718524,2023-04-18,1,1,
718522,2023-04-18,3,2,0
718527,2023-04-18,7,2,0
718520,2023-04-18,4,0,0
718521,2023-04-18,5,3,0
718523,2023-04-18,0,0,
718519,2023-04-18,2,0,0
718517,2023-04-18,3,4,1
718516,2023-04-18,0,3,1
718515,2023-04-19,7,0,0
718513,2023-04-19,0,0,
718511,2023-04-19,1,1,
718512,2023-04-19,4,10,1
718514,2023-04-19,5,1,0
718510,2023-04-19,5,2,0
718508,2023-04-19,2,1,0
718509,2023-04-19,9,1,0
718506,2023-04-19,2,2,
718507,2023-04-19,0,1,1
718502,2023-04-19,0,2,1
718518,2023-04-19,3,0,0
718504,2023-04-19,1,2,1
718505,2023-04-19,7,2,0
718501,2023-04-19,0,2,1
718497,2023-04-20,1,10,1
718496,2023-04-20,2,5,1
718500,2023-04-20,0,4,1
