game_pk,date,home_team,away_team,home_sp,home_sp_hand,away_sp,away_sp_hand
823244,2026-03-25,SF,NYY,657277,R,608331,L
823081,2026-03-26,STL,TB,669461,L,656876,R
823163,2026-03-26,SEA,CLE,669302,R,676440,R
823325,2026-03-26,SD,DET,601713,R,669373,L
823486,2026-03-26,PHI,TEX,650911,L,543135,R
823649,2026-03-26,NYM,PIT,642547,R,694973,R
823812,2026-03-26,MIL,CWS,694819,R,681343,R
823974,2026-03-26,LAD,AZ,808967,R,668678,R
824218,2026-03-26,HOU,LAA,686613,R,667755,R
824541,2026-03-26,CIN,BOS,671096,L,676979,L
824704,2026-03-26,CHC,WSH,571510,L,676917,R
824865,2026-03-26,BAL,MIN,669432,L,657746,R
822839,2026-03-27,TOR,ATH,592332,R,622663,R
823162,2026-03-27,SEA,CLE,669923,R,668909,R
823243,2026-03-27,SF,NYY,592662,L,693645,R
823324,2026-03-27,SD,DET,650633,R,664285,L
823893,2026-03-27,MIA,COL,645261,R,607536,L
823971,2026-03-27,LAD,AZ,686218,R,669194,R
824216,2026-03-27,HOU,LAA,681347,R,579328,L
824946,2026-03-27,ATL,KC,519242,L,666142,L
822838,2026-03-28,TOR,ATH,656302,R,605488,L
823082,2026-03-28,STL,TB,700241,R,671212,R
823161,2026-03-28,SEA,CLE,693433,R,676282,L
823241,2026-03-28,SF,NYY,641816,R,701542,R
823323,2026-03-28,SD,DET,681190,R,656427,R
823488,2026-03-28,PHI,TEX,605400,R,656641,L
823651,2026-03-28,NYM,PIT,656849,L,656605,R
823811,2026-03-28,MIL,CWS,694477,R,680732,R
823892,2026-03-28,MIA,COL,691587,R,547179,R
823973,2026-03-28,LAD,AZ,607192,R,593958,L
824213,2026-03-28,HOU,LAA,664299,R,672282,L
824540,2026-03-28,CIN,BOS,663903,R,543243,R
824701,2026-03-28,CHC,WSH,690990,R,571945,R
824862,2026-03-28,BAL,MIN,680694,R,671737,R
824945,2026-03-28,ATL,KC,625643,R,608379,R
822837,2026-03-29,TOR,ATH,641778,L,806960,R
823079,2026-03-29,STL,TB,669160,R,571927,L
823160,2026-03-29,SEA,CLE,676106,R,677944,R
823487,2026-03-29,PHI,TEX,666200,L,669022,L
823647,2026-03-29,NYM,PIT,690997,R,669387,R
823810,2026-03-29,MIL,CWS,687075,R,641743,L
823891,2026-03-29,MIA,COL,676974,R,500779,L
824215,2026-03-29,HOU,LAA,837227,R,686799,R
824538,2026-03-29,CIN,BOS,695076,R,813349,L
824700,2026-03-29,CHC,WSH,684007,L,663623,R
824864,2026-03-29,BAL,MIN,669358,R,641927,R
824944,2026-03-29,ATL,KC,656550,R,607625,R
822834,2026-03-30,TOR,COL,664074,R,608372,R
823080,2026-03-30,STL,NYM,681517,R,605280,R
823159,2026-03-30,SEA,NYY,622491,R,677960,L
823320,2026-03-30,SD,SF,621111,R,694738,R
823484,2026-03-30,PHI,WSH,592836,R,656492,L
823809,2026-03-30,MIL,TB,690986,L,607259,R
823890,2026-03-30,MIA,CWS,663978,R,663436,R
823972,2026-03-30,LAD,CLE,808963,R,800048,L
824135,2026-03-30,KC,MIN,663460,L,680573,R
824214,2026-03-30,HOU,BOS,621121,R,624133,L
824539,2026-03-30,CIN,PIT,695505,R,677952,R
824702,2026-03-30,CHC,LAA,665795,R,696270,R
824863,2026-03-30,BAL,TEX,605135,R,683004,R
824943,2026-03-30,ATL,ATH,693821,R,682052,L
825108,2026-03-30,AZ,DET,647336,R,434378,R
822836,2026-03-31,TOR,COL,453286,R,663372,R
823077,2026-03-31,STL,NYM,669467,R,673540,R
823158,2026-03-31,SEA,NYY,669302,R,608331,L
823322,2026-03-31,SD,SF,608566,R,657277,R
823485,2026-03-31,PHI,WSH,691725,R,676571,L
823807,2026-03-31,MIL,TB,605540,R,663556,L
823888,2026-03-31,MIA,CWS,676083,R,607200,R
823969,2026-03-31,LAD,CLE,660271,R,676440,R
824212,2026-03-31,HOU,BOS,686613,R,678394,R
824537,2026-03-31,CIN,PIT,682227,L,696149,R
824699,2026-03-31,CHC,LAA,592791,R,667755,R
824861,2026-03-31,BAL,TEX,621107,R,594798,R
824942,2026-03-31,ATL,ATH,660761,L,650644,R
825107,2026-03-31,AZ,DET,694297,R,663554,R
822835,2026-04-01,TOR,COL,592332,R,607536,L
823078,2026-04-01,STL,NYM,669461,L,642547,R
823157,2026-04-01,SEA,NYY,669923,R,693645,R
823321,2026-04-01,SD,SF,601713,R,605288,R
823483,2026-04-01,PHI,WSH,650911,L,676917,R
823806,2026-04-01,MIL,TB,694819,R,656876,R
823889,2026-04-01,MIA,CWS,645261,R,681343,R
823970,2026-04-01,LAD,CLE,808967,R,668909,R
824136,2026-04-01,KC,MIN,702070,L,657746,R
824211,2026-04-01,HOU,BOS,681347,R,676979,L
824536,2026-04-01,CIN,PIT,671096,L,694973,R
824698,2026-04-01,CHC,LAA,571510,L,579328,L
824860,2026-04-01,BAL,TEX,669432,L,543135,R
824940,2026-04-01,ATL,ATH,519242,L,622663,R
825106,2026-04-01,AZ,DET,668678,R,669373,L
823242,2026-04-02,SF,NYM,592662,L,656849,L
824133,2026-04-02,KC,MIN,666142,L,671737,R
825105,2026-04-02,AZ,ATL,669194,R,625643,R
822758,2026-04-03,WSH,LAD,571945,R,686218,R
822919,2026-04-03,TEX,CIN,669022,L,663903,R
823240,2026-04-03,SF,NYM,641816,R,690997,R
823406,2026-04-03,PIT,BAL,656605,R,680694,R
823568,2026-04-03,NYY,MIA,701542,R,691587,R
823732,2026-04-03,MIN,TB,641927,R,671212,R
824056,2026-04-03,LAA,SEA,672282,L,693433,R
824299,2026-04-03,DET,STL,664285,L,700241,R
824377,2026-04-03,COL,PHI,547179,R,605400,R
824458,2026-04-03,CLE,CHC,676282,L,690990,R
824621,2026-04-03,CWS,TOR,691799,R,656302,R
824786,2026-04-03,BOS,SD,543243,R,650633,R
825026,2026-04-03,ATH,HOU,605488,L,664299,R
825103,2026-04-03,AZ,ATL,593958,L,656550,R
822757,2026-04-04,WSH,LAD,663623,R,607192,R
822920,2026-04-04,TEX,CIN,677958,R,695076,R
823239,2026-04-04,SF,NYM,694738,R,605280,R
823404,2026-04-04,PIT,BAL,669387,R,669358,R
823569,2026-04-04,NYY,MIA,677960,L,676974,R
823730,2026-04-04,MIN,TB,690953,R,571927,L
824054,2026-04-04,LAA,SEA,686799,R,676106,R
824132,2026-04-04,KC,MIL,679883,R,694477,R
824134,2026-04-04,KC,MIL,607625,R,701656,R
824295,2026-04-04,DET,STL,656427,R,669160,R
824378,2026-04-04,COL,PHI,657514,L,666200,L
824622,2026-04-04,CWS,TOR,691799,R,689254,L
824782,2026-04-04,BOS,SD,813349,L,681190,R
825027,2026-04-04,ATH,HOU,806960,R,837227,R
