date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2
2026-08-17,823427,650333,Luis Arraez,Philadelphia Phillies,Miami Marlins,1,Janson Junk,676083,R,149,520,117,4.44,4.26,1.18,1.04,1.0,0.26695,73.4,32.0,-319,-350,-325,174,150,172,-276,+212
2026-08-17,824320,518692,Freddie Freeman,Los Angeles Dodgers,Colorado Rockies,0,Tomoyuki Sugano,608372,R,136,517,121,4.27,4.1,1.12,1.04,1.07,0.27114,72.7,31.0,-424,-500,-530,123,105,113,-266,+223
2026-08-17,823427,672640,Otto Lopez,Miami Marlins,Philadelphia Phillies,0,Cristopher Sánchez,650911,L,150,525,121,4.34,4.17,1.18,1.03,1.0,0.26345,72.1,30.4,-284,-295,-295,194,180,195,-258,+229
2026-08-17,824320,660271,Shohei Ohtani,Los Angeles Dodgers,Colorado Rockies,0,Tomoyuki Sugano,608372,R,128,525,119,4.41,4.23,1.07,1.04,1.07,0.25913,71.9,30.3,-465,-500,-590,117,105,108,-256,+230
2026-08-17,824320,681624,Andy Pages,Los Angeles Dodgers,Colorado Rockies,0,Tomoyuki Sugano,608372,R,129,533,124,4.3,4.13,1.07,1.04,1.07,0.2581,70.9,29.0,-390,-450,-500,138,120,128,-244,+245
2026-08-17,822939,650490,Yandy Díaz,Tampa Bay Rays,Baltimore Orioles,1,Brandon Young,687064,R,141,525,118,4.45,4.27,1.14,1.01,0.99,0.24639,70.1,28.4,-322,-275,-325,168,195,178,-234,+252
2026-08-17,823343,693304,Nick Gonzales,Pittsburgh Pirates,Detroit Tigers,1,Framber Valdez,664285,L,137,486,118,4.12,3.96,1.17,1.02,1.01,0.26067,69.8,27.5,-275,-235,-320,200,220,188,-231,+264
2026-08-17,823343,805808,Kevin McGonigle,Detroit Tigers,Pittsburgh Pirates,0,Carmen Mlodzinski,669387,R,129,541,120,4.51,4.33,1.06,1.04,1.01,0.24042,69.6,27.9,-271,-275,-325,206,200,181,-229,+258
2026-08-17,824478,691023,Jordan Walker,St. Louis Cardinals,Cincinnati Reds,0,Rhett Lowder,695076,R,132,512,120,4.27,4.1,1.11,1.03,1.01,0.25047,69.3,27.3,,,,,,,-226,+266
2026-08-17,824478,676475,Alec Burleson,St. Louis Cardinals,Cincinnati Reds,0,Rhett Lowder,695076,R,135,521,123,4.24,4.07,1.11,1.03,1.01,0.25143,69.2,27.2,,,,,,,-225,+268
2026-08-17,824077,677951,Bobby Witt Jr.,Kansas City Royals,Athletics,1,Mason Barnett,686930,R,117,466,106,4.4,4.22,1.09,0.99,1.02,0.23823,68.3,26.4,-317,-300,-345,171,175,178,-215,+279
2026-08-17,823668,686948,Drake Baldwin,Atlanta Braves,Minnesota Twins,0,Bailey Ober,641927,R,108,448,101,4.44,4.26,1.06,1.03,1.0,0.23646,68.3,26.5,-305,-300,-325,169,175,178,-215,+277
2026-08-17,824320,664983,Jake McCarthy,Colorado Rockies,Los Angeles Dodgers,1,Blake Snell,605483,L,116,426,109,3.91,3.75,1.13,1.0,1.07,0.26299,68.2,25.5,-266,-250,-325,199,200,188,-214,+292
2026-08-17,824320,681198,TJ Rumfield,Colorado Rockies,Los Angeles Dodgers,1,Blake Snell,605483,L,124,483,120,4.03,3.87,1.1,1.0,1.07,0.25573,68.1,25.7,-208,-190,-240,262,280,245,-213,+289
2026-08-17,824725,672515,Gabriel Moreno,Arizona Diamondbacks,Boston Red Sox,0,TBD,,,106,400,96,4.17,4.0,1.11,1.0,1.03,0.24783,68.0,25.8,-257,-295,-310,207,175,184,-213,+288
2026-08-17,824725,678882,Ceddanne Rafaela,Boston Red Sox,Arizona Diamondbacks,1,Mitch Bratt,683352,L,133,498,119,4.18,4.01,1.13,0.98,1.03,0.24753,68.0,25.9,-279,-325,-320,204,160,195,-213,+286
