date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u
2026-09-11,822767,703520,Brett Bateman,Toronto Blue Jays,Baltimore Orioles,1,Chris Bassitt,605135,R,37,129,28,4.61,4.33,1.08,1.07,1.0,0.25042,71.3,29.8,-269,-235,-250,206,220,184,-248,+236,198
2026-09-11,823817,672640,Otto Lopez,Miami Marlins,Los Angeles Dodgers,1,TBD,,,173,622,143,4.35,4.09,1.17,1.0,1.01,0.25655,70.3,28.3,-190,-210,-190,312,250,265,-237,+253,142
2026-09-11,823736,694192,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,1,Andrew Abbott,671096,L,135,509,112,4.54,4.27,1.13,1.01,1.0,0.24587,70.0,28.3,-358,-275,-320,153,180,172,-233,+253,
2026-09-11,824873,650333,Luis Arraez,Philadelphia Phillies,Atlanta Braves,0,Chris Sale,519242,L,175,603,139,4.34,4.08,1.2,0.98,1.0,0.25485,69.9,27.9,-213,-250,-230,261,200,205,-232,+258,158
2026-09-11,823817,518692,Freddie Freeman,Los Angeles Dodgers,Miami Marlins,0,Ryan Gusto,687473,R,156,600,140,4.29,4.03,1.12,1.04,1.01,0.25532,69.5,27.4,-261,-325,-325,201,165,171,-228,+265,192
2026-09-11,822930,650490,Yandy Díaz,Tampa Bay Rays,Houston Astros,1,Miguel Ullola,699044,R,171,629,141,4.46,4.19,1.16,0.99,0.99,0.24621,69.4,27.5,-287,-275,-320,193,195,178,-227,+264,
2026-09-11,824711,677951,Bobby Witt Jr.,Kansas City Royals,Boston Red Sox,0,Sonny Gray,543243,R,141,567,128,4.43,4.16,1.09,1.01,1.03,0.24427,68.8,26.9,-264,-285,-320,214,180,171,-221,+272,194
2026-09-11,824873,686948,Drake Baldwin,Atlanta Braves,Philadelphia Phillies,1,Aaron Nola,605400,R,135,548,124,4.42,4.15,1.08,1.04,1.0,0.24391,68.7,26.7,-244,-250,-250,236,200,184,-219,+275,180
2026-09-11,823736,682829,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,0,Dustin May,669160,R,142,567,127,4.46,4.19,1.09,1.02,1.0,0.2422,68.7,26.8,-178,-190,-190,319,270,260,-219,+273,134
2026-09-11,824711,677800,Wilyer Abreu,Boston Red Sox,Kansas City Royals,1,Seth Lugo,607625,R,139,624,143,4.36,4.1,1.02,1.08,1.03,0.2443,68.3,26.3,-249,-250,-245,235,210,188,-215,+280,184
2026-09-11,824631,693304,Nick Gonzales,Pittsburgh Pirates,Chicago Cubs,0,Shota Imanaga,684007,L,156,564,136,4.15,3.9,1.16,1.01,1.0,0.25309,68.0,25.6,-208,-225,-205,260,230,235,-213,+291,155
2026-09-11,823817,660271,Shohei Ohtani,Los Angeles Dodgers,Miami Marlins,0,Ryan Gusto,687473,R,139,596,134,4.45,4.18,1.05,1.04,1.01,0.23838,68.0,26.0,,,,,,,-213,+285,
2026-09-11,822767,676391,Ernie Clement,Toronto Blue Jays,Baltimore Orioles,1,Chris Bassitt,605135,R,148,570,143,3.99,3.75,1.12,1.07,1.0,0.25922,67.5,24.9,-205,-210,-205,283,250,240,-208,+302,153
2026-09-11,824711,701350,Roman Anthony,Boston Red Sox,Kansas City Royals,1,Seth Lugo,607625,R,37,183,41,4.46,4.19,0.98,1.08,1.03,0.23509,67.5,25.6,-278,-250,-260,208,210,181,-208,+291,204
2026-09-11,824873,671739,Michael Harris II,Atlanta Braves,Philadelphia Phillies,1,Aaron Nola,605400,R,152,560,141,3.97,3.73,1.15,1.04,1.0,0.25933,67.4,24.7,-253,-250,-250,220,210,188,-207,+305,186
2026-09-11,822684,695578,James Wood,Washington Nationals,Los Angeles Angels,1,Yusei Kikuchi,579328,L,123,566,121,4.68,4.4,1.0,1.03,1.0,0.22364,67.2,25.6,-212,-235,-225,261,220,205,-205,+291,158
2026-09-11,824711,686765,Nick Sogard,Boston Red Sox,Kansas City Royals,1,Seth Lugo,607625,R,49,217,51,4.25,3.99,1.02,1.08,1.03,0.2437,67.2,25.0,-178,-200,-190,345,260,265,-205,+300,133
2026-09-11,822930,802415,Chandler Simpson,Tampa Bay Rays,Houston Astros,1,Miguel Ullola,699044,R,160,561,138,4.07,3.83,1.19,0.99,0.99,0.25237,67.2,24.7,-252,-235,-250,224,230,188,-205,+305,186
