date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,played,pa_actual,ab_actual,h_actual,hit_yes,hit2_yes,graded_at
2026-08-17,824514,682829,Elly De La Cruz,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,107,465,104,4.47,4.29,1.03,1.01,1.01,0.22848,67.1,25.4,-250,-220,-320,223,240,195,-204,+294,1,4,4,0,0,0,2026-08-18T00:02:30Z
2026-08-17,824514,701398,Sal Stewart,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,121,532,123,4.33,4.16,1.03,1.01,1.01,0.2274,65.8,23.9,-257,-250,-320,212,210,184,-192,+318,1,4,4,1,1,0,2026-08-18T00:02:30Z
2026-08-17,824514,668709,JJ Bleday,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,73,398,95,4.19,4.02,0.92,1.01,1.01,0.20415,60.1,18.9,,,,,,,-151,+429,1,1,1,0,0,0,2026-08-18T00:02:30Z
2026-08-17,824514,553993,Eugenio Suárez,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,67,367,92,3.99,3.83,0.93,1.01,1.01,0.20441,58.3,17.4,-176,-175,-197,334,310,305,-140,+475,1,4,4,0,0,0,2026-08-18T00:02:30Z
2026-08-17,824514,663886,Tyler Stephenson,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,75,339,95,3.57,3.43,1.01,1.01,1.01,0.22321,58.0,16.5,-199,-225,-245,287,240,235,-138,+506,1,4,3,0,0,0,2026-08-18T00:02:30Z
2026-08-17,824514,680574,Matt McLain,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,62,367,99,3.71,3.56,0.9,1.01,1.01,0.19775,54.4,14.3,-136,-165,-154,439,333,375,-119,+599,1,3,2,0,0,0,2026-08-18T00:02:30Z
2026-08-17,824514,682622,Noelvi Marte,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,36,198,61,3.25,3.12,0.95,1.01,1.01,0.20922,51.9,12.2,-155,-175,-182,362,333,305,-108,+720,1,3,3,0,0,0,2026-08-18T00:02:30Z
2026-08-17,824514,670770,TJ Friedl,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,34,242,70,3.46,3.32,0.87,1.01,1.01,0.1917,50.7,11.8,,,,,,,-103,+747,0,0,0,0,0,0,2026-08-18T00:02:30Z
2026-08-17,824514,667472,Dane Myers,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,48,224,87,2.57,2.47,1.0,1.01,1.01,0.22015,45.9,8.2,-195,-200,-230,299,280,250,+118,+1120,1,4,4,2,1,1,2026-08-18T00:02:30Z
2026-08-17,824514,663647,Ke'Bryan Hayes,Cincinnati Reds,St. Louis Cardinals,1,Quinn Mathews,687273,L,26,188,69,2.72,2.61,0.88,1.01,1.01,0.19541,43.3,7.4,-122,-130,-148,450,450,390,+131,+1251,1,2,2,0,0,0,2026-08-18T00:02:30Z
