game_date,game_pk,batter,pitcher,player_name,stand,p_throws,pitch_type,pitch_name,release_speed,release_spin_rate,plate_x,plate_z,zone,sz_top,sz_bot,balls,strikes,inning,inning_topbot,outs_when_up,launch_speed,launch_angle,hit_distance_sc,home_team,away_team,des
2026-07-16,823440,607208,596133,"Weaver, Luke",R,R,FF,4-Seam Fastball,95.9,2389,-0.7529307194891364,2.6326818941391714,4,3.244578412,1.637450787,0,1,8,Bot,2,101.2,35,383,PHI,NYM,Trea Turner homers (11) on a fly ball to left field.
2026-07-16,823440,682626,605400,"Nola, Aaron",R,R,SI,Sinker,92.1,2223,-1.0206638793898015,1.8703538954553809,13,3.120833333,1.575,3,1,7,Top,0,104.4,21,363,PHI,NYM,Francisco Alvarez homers (11) on a line drive to left field.
2026-07-16,823440,683146,605400,"Nola, Aaron",L,R,FF,4-Seam Fastball,91.2,2369,0.3877593606369669,3.60890248877712,12,3.327952756,1.679527559,0,1,7,Top,0,95.6,36,378,PHI,NYM,Brett Baty homers (5) on a fly ball to right center field.
2026-07-16,823440,682626,605400,"Nola, Aaron",R,R,SL,Slider,82.4,2370,-0.3008662694186412,2.5486934374726657,4,3.120833333,1.575,1,2,3,Top,1,100.2,32,416,PHI,NYM,Francisco Alvarez homers (10) on a fly ball to center field.
2026-07-17,825060,682998,703725,"Gastelum, Luis",L,R,CH,Changeup,80.6,1548,-0.029538984617125,2.005102951191178,8,3.10328084,1.566141732,1,1,8,Bot,0,106.2,22,356,AZ,STL,Corbin Carroll homers (14) on a fly ball to right field. Geraldo Perdomo scores.
2026-07-17,825060,802139,518876,"Kelly, Merrill",L,R,FF,4-Seam Fastball,92.4,2367,0.3092914693291123,2.2841385086607247,6,3.096259843,1.562598425,3,1,5,Top,1,104.5,29,402,AZ,STL,JJ Wetherholt homers (14) on a fly ball to right center field.
2026-07-17,825060,694374,700241,"McGreevy, Michael",R,R,CH,Changeup,87.4,1746,-0.6791305295128081,2.039706136749103,7,3.162959318,1.596259843,2,1,3,Bot,0,98.6,35,381,AZ,STL,Tim Tawa homers (4) on a fly ball to left field.
2026-07-17,824981,669127,678391,"Vivas, Jorbit",R,R,CU,Curveball,49.2,1081,-1.2482948588999592,1.810732116238781,13,3.18226706,1.606003937,0,0,9,Bot,0,107.6,24,399,ATH,WSH,Shea Langeliers homers (22) on a line drive to left field.
2026-07-17,824981,695734,666126,"Cortes, Carlos",L,L,CH,Changeup,76.2,1923,0.2471141217681344,2.626796882388056,5,3.180511811,1.60511811,2,0,9,Top,1,100.9,31,412,ATH,WSH,Daylen Lile homers (11) on a fly ball to center field. Dylan Crews scores. Harry Ford scores.
2026-07-17,824981,665953,814305,"Tur, Yunior",R,R,FF,4-Seam Fastball,95.4,2112,-0.6063904467532271,2.313506516016542,4,3.205085302,1.617519685,1,0,7,Top,0,106.4,22,406,ATH,WSH,Andrés Chaparro homers (3) on a line drive to left field. James Wood scores. Curtis Mead scores.
2026-07-17,824981,695670,686993,"Sterner, Justin",R,R,FF,4-Seam Fastball,95.1,2251,-0.2123492373528135,2.691696528174498,2,3.122588583,1.575885827,2,0,5,Top,2,98.6,36,387,ATH,WSH,Harry Ford homers (1) on a fly ball to center field. Dylan Crews scores.
2026-07-17,824981,665953,660761,"Suarez, José",R,L,FF,4-Seam Fastball,92.5,2344,0.507299998017402,2.4522388796317798,6,3.205085302,1.617519685,2,2,5,Top,1,106.8,30,467,ATH,WSH,Andrés Chaparro homers (2) on a fly ball to left center field. Curtis Mead scores.
2026-07-17,824981,691016,676917,"Cavalli, Cade",L,R,SI,Sinker,96.5,2172,-0.008995334512484,2.641108183470669,5,3.285826772,1.658267717,0,0,4,Bot,0,105.6,22,415,ATH,WSH,Tyler Soderstrom homers (15) on a fly ball to center field. Jacob Wilson scores.
