game_date,game_pk,batter,pitcher,player_name,stand,p_throws,pitch_type,pitch_name,release_speed,release_spin_rate,plate_x,plate_z,zone,sz_top,sz_bot,balls,strikes,inning,inning_topbot,outs_when_up,launch_speed,launch_angle,hit_distance_sc,home_team,away_team,des,p,tier,f_bat,f_pit,c_pa_n,c_hr,zone_lab,velo_b,cnt,late
2026-07-16,823440,607208,596133,"Weaver, Luke",R,R,FF,4-Seam Fastball,95.9,2389,-0.7529307194891364,2.6326818941391714,4,3.244578412,1.637450787,0,1,8,Bot,2,101.2,35,383,PHI,NYM,Trea Turner homers (11) on a fly ball to left field.,0.11823084638147441,8-12,0.8552245272378297,0.9950202390933154,415.0,10.0,mid-in,94-97,0-1,7th+ (bullpen)
2026-07-16,823440,682626,605400,"Nola, Aaron",R,R,SI,Sinker,92.1,2223,-1.0206638793898015,1.8703538954553809,13,3.120833333,1.575,3,1,7,Top,0,104.4,21,363,PHI,NYM,Francisco Alvarez homers (11) on a line drive to left field.,0.15628836037168647,12-16,1.1420527218197658,1.1711561882594927,232.0,9.0,chase low-in,90-94,3-1,7th+ (bullpen)
2026-07-16,823440,683146,605400,"Nola, Aaron",L,R,FF,4-Seam Fastball,91.2,2369,0.3877593606369669,3.60890248877712,12,3.327952756,1.679527559,0,1,7,Top,0,95.6,36,378,PHI,NYM,Brett Baty homers (5) on a fly ball to right center field.,0.08544142521714782,8-12,0.6257296092812615,1.1711561882594927,328.0,4.0,chase up-away,90-94,0-1,7th+ (bullpen)
2026-07-16,823440,682626,605400,"Nola, Aaron",R,R,SL,Slider,82.4,2370,-0.3008662694186412,2.5486934374726657,4,3.120833333,1.575,1,2,3,Top,1,100.2,32,416,PHI,NYM,Francisco Alvarez homers (10) on a fly ball to center field.,0.15628836037168647,12-16,1.1420527218197658,1.1711561882594927,232.0,9.0,mid-in,<85,1-2,1-6 (starter era)
2026-07-17,825060,682998,703725,"Gastelum, Luis",L,R,CH,Changeup,80.6,1548,-0.029538984617125,2.005102951191178,8,3.10328084,1.566141732,1,1,8,Bot,0,106.2,22,356,AZ,STL,Corbin Carroll homers (14) on a fly ball to right field. Geraldo Perdomo scores.,0.13399987952646308,12-16,1.0426732183897758,1.0176679337067007,398.0,13.0,low-mid,<85,1-1,7th+ (bullpen)
2026-07-17,825060,802139,518876,"Kelly, Merrill",L,R,FF,4-Seam Fastball,92.4,2367,0.3092914693291123,2.2841385086607247,6,3.096259843,1.562598425,3,1,5,Top,1,104.5,29,402,AZ,STL,JJ Wetherholt homers (14) on a fly ball to right center field.,0.16544447718581623,16-20,1.0255239878241544,1.1840278811703469,408.0,13.0,mid-away,90-94,3-1,1-6 (starter era)
2026-07-17,824981,669127,678391,"Vivas, Jorbit",R,R,CU,Curveball,49.2,1081,-1.2482948588999592,1.810732116238781,13,3.18226706,1.606003937,0,0,9,Bot,0,107.6,24,399,ATH,WSH,Shea Langeliers homers (22) on a line drive to left field.,0.16880289079002275,16-20,1.5062102314950605,0.8706613256613682,387.0,21.0,chase low-in,<85,0-0,7th+ (bullpen)
2026-07-17,824981,695734,666126,"Cortes, Carlos",L,L,CH,Changeup,76.2,1923,0.2471141217681344,2.626796882388056,5,3.180511811,1.60511811,2,0,9,Top,1,100.9,31,412,ATH,WSH,Daylen Lile homers (11) on a fly ball to center field. Dylan Crews scores. Harry Ford scores.,0.10020035704732844,8-12,0.8705025275052037,0.917731968092671,404.0,10.0,HEART,<85,2-0,7th+ (bullpen)
2026-07-17,824981,691016,676917,"Cavalli, Cade",L,R,SI,Sinker,96.5,2172,-0.008995334512484,2.641108183470669,5,3.285826772,1.658267717,0,0,4,Bot,0,105.6,22,415,ATH,WSH,Tyler Soderstrom homers (15) on a fly ball to center field. Jacob Wilson scores.,0.12604428087438924,12-16,1.1972571847781026,0.8706613256613682,348.0,14.0,HEART,94-97,0-0,1-6 (starter era)
2026-07-17,824901,663586,543309,"Higashioka, Kyle",R,R,FA,Other,59.4,1753,-0.7177542358644022,3.273347467591268,1,3.273540026,1.652066929,1,1,8,Bot,0,106.9,29,390,ATL,TEX,Austin Riley homers (10) on a fly ball to left field.,0.10349784810899454,8-12,0.8430857674390234,1.002755707469244,385.0,9.0,up-in,<85,1-1,7th+ (bullpen)
