batter,pt,ab,h,tb,date
519317,CH,1,1,1,2026-03-25
519317,SI,2,1,1,2026-03-25
519317,SL,1,0,0,2026-03-25
592450,CH,2,0,0,2026-03-25
592450,FF,1,0,0,2026-03-25
592450,SI,2,0,0,2026-03-25
641355,CH,1,0,0,2026-03-25
641355,FC,1,1,1,2026-03-25
641355,FF,2,0,0,2026-03-25
641355,FS,1,0,0,2026-03-25
641857,CH,2,1,1,2026-03-25
641857,SL,1,0,0,2026-03-25
642715,FC,3,0,0,2026-03-25
642715,FF,1,0,0,2026-03-25
646240,SI,3,1,1,2026-03-25
646240,SL,1,0,0,2026-03-25
650333,SI,2,1,1,2026-03-25
650333,ST,1,0,0,2026-03-25
656305,CH,1,0,0,2026-03-25
656305,CU,2,0,0,2026-03-25
663757,CH,1,1,3,2026-03-25
663757,FF,3,0,0,2026-03-25
663757,SI,1,0,0,2026-03-25
664056,FF,2,0,0,2026-03-25
664056,SL,1,0,0,2026-03-25
665862,CH,2,0,0,2026-03-25
665862,CU,1,1,1,2026-03-25
669224,CH,1,1,1,2026-03-25
669224,SI,2,1,1,2026-03-25
669477,FC,1,0,0,2026-03-25
669477,SI,1,0,0,2026-03-25
669477,ST,1,0,0,2026-03-25
671218,CH,2,1,1,2026-03-25
671218,FC,1,0,0,2026-03-25
671218,SI,1,0,0,2026-03-25
672275,FC,1,0,0,2026-03-25
672275,FF,2,0,0,2026-03-25
676609,CH,1,0,0,2026-03-25
676609,SI,2,0,0,2026-03-25
676609,ST,1,1,1,2026-03-25
700250,CU,1,0,0,2026-03-25
700250,SI,2,1,1,2026-03-25
700250,ST,1,0,0,2026-03-25
808982,FC,1,0,0,2026-03-25
808982,SI,2,0,0,2026-03-25
808982,ST,1,0,0,2026-03-25
457705,CH,1,0,0,2026-03-26
457705,SI,1,1,2,2026-03-26
467793,FF,2,0,0,2026-03-26
467793,SI,1,0,0,2026-03-26
500743,FF,2,1,1,2026-03-26
500743,SL,2,0,0,2026-03-26
514888,SI,2,0,0,2026-03-26
514888,SL,1,0,0,2026-03-26
518692,CH,1,0,0,2026-03-26
518692,FF,3,0,0,2026-03-26
542303,CU,1,0,0,2026-03-26
542303,FC,1,0,0,2026-03-26
542303,FF,2,0,0,2026-03-26
543309,SI,1,1,1,2026-03-26
543760,FF,1,0,0,2026-03-26
543760,SI,3,2,3,2026-03-26
543760,SL,1,0,0,2026-03-26
545361,FF,1,1,4,2026-03-26
545361,SL,1,0,0,2026-03-26
