batter,date,game_pk,bat_team,home_team,pa_n,hr,pa_vl,hr_vl,pa_vr,hr_vr
519317,2026-03-25,823244,NYY,SF,4,0,0,0,4,0
592450,2026-03-25,823244,NYY,SF,5,0,0,0,5,0
641355,2026-03-25,823244,NYY,SF,5,0,0,0,5,0
641857,2026-03-25,823244,NYY,SF,4,0,0,0,4,0
642715,2026-03-25,823244,SF,SF,4,0,3,0,1,0
646240,2026-03-25,823244,SF,SF,4,0,4,0,0,0
650333,2026-03-25,823244,SF,SF,4,0,4,0,0,0
656305,2026-03-25,823244,SF,SF,4,0,4,0,0,0
663757,2026-03-25,823244,NYY,SF,5,0,0,0,5,0
664056,2026-03-25,823244,SF,SF,3,0,3,0,0,0
665862,2026-03-25,823244,NYY,SF,4,0,0,0,4,0
669224,2026-03-25,823244,NYY,SF,4,0,0,0,4,0
669477,2026-03-25,823244,SF,SF,4,0,2,0,2,0
671218,2026-03-25,823244,SF,SF,4,0,2,0,2,0
672275,2026-03-25,823244,SF,SF,3,0,3,0,0,0
676609,2026-03-25,823244,NYY,SF,4,0,0,0,4,0
700250,2026-03-25,823244,NYY,SF,5,0,0,0,5,0
808982,2026-03-25,823244,SF,SF,4,0,3,0,1,0
457705,2026-03-26,823486,TEX,PHI,2,0,2,0,0,0
467793,2026-03-26,823974,AZ,LAD,3,0,0,0,3,0
500743,2026-03-26,823974,LAD,LAD,4,0,0,0,4,0
514888,2026-03-26,824218,HOU,HOU,4,0,0,0,4,0
518692,2026-03-26,823974,LAD,LAD,5,0,0,0,5,0
542303,2026-03-26,823649,PIT,NYM,4,0,0,0,4,0
543309,2026-03-26,823486,TEX,PHI,1,0,1,0,0,0
543760,2026-03-26,823649,NYM,NYM,5,0,1,0,4,0
545361,2026-03-26,824218,LAA,HOU,5,1,0,0,5,1
547180,2026-03-26,823486,PHI,PHI,4,0,1,0,3,0
553993,2026-03-26,824541,CIN,CIN,4,0,3,0,1,0
571448,2026-03-26,823974,AZ,LAD,3,0,0,0,3,0
571970,2026-03-26,823974,LAD,LAD,4,0,0,0,4,0
572233,2026-03-26,824218,HOU,HOU,3,0,0,0,3,0
575929,2026-03-26,824541,BOS,CIN,5,0,4,0,1,0
592206,2026-03-26,823325,SD,SD,1,0,1,0,0,0
592518,2026-03-26,823325,SD,SD,4,0,3,0,1,0
592626,2026-03-26,823486,TEX,PHI,1,0,0,0,1,0
592663,2026-03-26,823486,PHI,PHI,4,0,1,0,3,0
592885,2026-03-26,823812,MIL,MIL,5,0,2,0,3,0
593428,2026-03-26,823325,SD,SD,4,0,3,0,1,0
593871,2026-03-26,823649,NYM,NYM,5,0,2,0,3,0
595879,2026-03-26,823325,DET,SD,4,0,0,0,4,0
596019,2026-03-26,823649,NYM,NYM,5,0,1,0,4,0
596115,2026-03-26,824541,BOS,CIN,5,0,4,0,1,0
605137,2026-03-26,824865,MIN,BAL,4,0,3,0,1,0
605141,2026-03-26,823974,LAD,LAD,5,0,0,0,5,0
605170,2026-03-26,824865,MIN,BAL,4,0,3,0,1,0
606192,2026-03-26,823974,LAD,LAD,4,0,0,0,4,0
606466,2026-03-26,823974,AZ,LAD,4,0,0,0,4,0
607043,2026-03-26,823486,TEX,PHI,4,0,3,0,1,0
607208,2026-03-26,823486,PHI,PHI,4,0,1,0,3,0
608070,2026-03-26,823163,CLE,SEA,5,0,1,0,4,0
608324,2026-03-26,824704,CHC,CHC,5,0,2,0,3,0
608348,2026-03-26,824704,CHC,CHC,4,0,0,0,4,0
608369,2026-03-26,823486,TEX,PHI,4,0,4,0,0,0
609280,2026-03-26,823325,SD,SD,4,0,3,0,1,0
621020,2026-03-26,824704,CHC,CHC,4,0,0,0,4,0
621043,2026-03-26,824218,HOU,HOU,4,0,1,0,3,0
621439,2026-03-26,824865,MIN,BAL,4,0,3,0,1,0
621493,2026-03-26,824865,BAL,BAL,4,0,0,0,4,0
624413,2026-03-26,824865,BAL,BAL,4,0,2,0,2,0
624424,2026-03-26,824704,CHC,CHC,1,0,0,0,1,0
624512,2026-03-26,823812,CWS,MIL,1,0,0,0,1,0
624585,2026-03-26,824218,LAA,HOU,5,0,0,0,5,0
630105,2026-03-26,823325,SD,SD,4,0,2,0,2,0
641343,2026-03-26,823812,MIL,MIL,5,1,2,0,3,1
641584,2026-03-26,823081,TB,STL,1,0,0,0,1,0
641933,2026-03-26,824865,BAL,BAL,3,0,0,0,3,0
643217,2026-03-26,823812,CWS,MIL,2,0,0,0,2,0
643376,2026-03-26,823486,TEX,PHI,4,0,2,0,2,0
643396,2026-03-26,824541,BOS,CIN,2,0,2,0,0,0
647304,2026-03-26,823163,SEA,SEA,4,0,1,0,3,0
650402,2026-03-26,823325,DET,SD,5,0,0,0,5,0
650490,2026-03-26,823081,TB,STL,6,0,4,0,2,0
650859,2026-03-26,823812,MIL,MIL,2,0,0,0,2,0
656537,2026-03-26,823812,CWS,MIL,1,0,0,0,1,0
656555,2026-03-26,823163,CLE,SEA,4,0,1,0,3,0
656775,2026-03-26,823081,TB,STL,5,0,2,0,3,0
656811,2026-03-26,823649,PIT,NYM,4,1,0,0,4,1
656941,2026-03-26,823486,PHI,PHI,4,1,1,0,3,1
657656,2026-03-26,823325,SD,SD,4,1,2,0,2,1
657757,2026-03-26,823325,SD,SD,3,0,2,0,1,0
660162,2026-03-26,824218,LAA,HOU,5,0,1,0,4,0
660271,2026-03-26,823974,LAD,LAD,5,0,0,0,5,0
660688,2026-03-26,824704,WSH,CHC,4,0,3,0,1,0
660844,2026-03-26,823163,SEA,SEA,3,0,0,0,3,0
661388,2026-03-26,823812,MIL,MIL,5,0,1,0,4,0
663368,2026-03-26,823812,MIL,MIL,1,0,0,0,1,0
663538,2026-03-26,824704,CHC,CHC,4,0,0,0,4,0
663604,2026-03-26,823812,MIL,MIL,1,0,0,0,1,0
663616,2026-03-26,824865,MIN,BAL,1,0,0,0,1,0
663647,2026-03-26,824541,CIN,CIN,3,0,2,0,1,0
663656,2026-03-26,823974,LAD,LAD,5,0,0,0,5,0
663728,2026-03-26,823163,SEA,SEA,4,0,1,0,3,0
663743,2026-03-26,823081,TB,STL,4,0,2,0,2,0
663886,2026-03-26,824541,CIN,CIN,4,0,3,0,1,0
664023,2026-03-26,824704,CHC,CHC,5,0,2,0,3,0
664040,2026-03-26,823649,PIT,NYM,4,2,0,0,4,2
664059,2026-03-26,823486,TEX,PHI,2,0,2,0,0,0
664761,2026-03-26,823486,PHI,PHI,4,1,0,0,4,1
665019,2026-03-26,824865,MIN,BAL,1,0,0,0,1,0
665487,2026-03-26,823325,SD,SD,4,0,3,0,1,0
665742,2026-03-26,823649,NYM,NYM,5,0,1,0,4,0
665833,2026-03-26,823649,PIT,NYM,5,0,0,0,5,0
665953,2026-03-26,824704,WSH,CHC,3,0,2,0,1,0
665966,2026-03-26,824541,BOS,CIN,4,0,2,0,2,0
666018,2026-03-26,823081,TB,STL,6,1,5,1,1,0
666023,2026-03-26,823325,SD,SD,4,0,2,0,2,0
666139,2026-03-26,824218,LAA,HOU,4,0,1,0,3,0
666152,2026-03-26,823812,MIL,MIL,5,0,2,0,3,0
666176,2026-03-26,824218,LAA,HOU,5,0,1,0,4,0
666181,2026-03-26,824541,CIN,CIN,1,0,0,0,1,0
666182,2026-03-26,823649,NYM,NYM,5,0,2,0,3,0
666310,2026-03-26,823163,CLE,SEA,5,0,1,0,4,0
666969,2026-03-26,823486,PHI,PHI,4,0,1,0,3,0
667472,2026-03-26,824541,CIN,CIN,1,0,1,0,0,0
668227,2026-03-26,823163,SEA,SEA,4,0,0,0,4,0
668715,2026-03-26,824541,CIN,CIN,4,0,4,0,0,0
668723,2026-03-26,823081,TB,STL,3,0,3,0,0,0
668804,2026-03-26,823649,PIT,NYM,4,0,0,0,4,0
668885,2026-03-26,824865,MIN,BAL,3,0,3,0,0,0
668904,2026-03-26,824865,MIN,BAL,3,0,3,0,0,0
668930,2026-03-26,823812,MIL,MIL,5,0,1,0,4,0
668939,2026-03-26,824865,BAL,BAL,4,0,2,0,2,0
669003,2026-03-26,823812,MIL,MIL,4,0,2,0,2,0
669016,2026-03-26,823486,PHI,PHI,4,0,1,0,3,0
669257,2026-03-26,823974,LAD,LAD,4,1,0,0,4,1
669326,2026-03-26,824218,LAA,HOU,1,0,0,0,1,0
