pitcher,pt,n,date
608331,CH,7,2026-03-25
608331,CU,13,2026-03-25
608331,FC,21,2026-03-25
608331,FF,21,2026-03-25
608331,SI,17,2026-03-25
608331,ST,7,2026-03-25
656234,SI,5,2026-03-25
656234,ST,2,2026-03-25
657277,CH,19,2026-03-25
657277,FC,4,2026-03-25
657277,FF,11,2026-03-25
657277,SI,42,2026-03-25
657277,ST,10,2026-03-25
664141,CH,2,2026-03-25
664141,CU,2,2026-03-25
664141,SI,9,2026-03-25
664141,SL,9,2026-03-25
666808,CH,1,2026-03-25
666808,FC,6,2026-03-25
666808,SI,4,2026-03-25
666808,SL,2,2026-03-25
668873,CU,2,2026-03-25
668873,FF,6,2026-03-25
668873,SI,1,2026-03-25
668873,SL,1,2026-03-25
676775,FF,7,2026-03-25
676775,FS,11,2026-03-25
676775,SI,1,2026-03-25
687396,FF,5,2026-03-25
687396,SI,3,2026-03-25
687396,SL,7,2026-03-25
472610,FS,8,2026-03-26
472610,SI,7,2026-03-26
472610,ST,5,2026-03-26
519141,CU,3,2026-03-26
519141,FF,9,2026-03-26
542888,FC,4,2026-03-26
542888,FF,5,2026-03-26
542888,ST,1,2026-03-26
543135,CU,8,2026-03-26
543135,FC,22,2026-03-26
543135,FF,11,2026-03-26
543135,FS,32,2026-03-26
543135,SI,6,2026-03-26
543135,SL,1,2026-03-26
547973,FF,6,2026-03-26
547973,FS,1,2026-03-26
547973,SI,1,2026-03-26
547973,SL,3,2026-03-26
571510,CH,8,2026-03-26
571510,CU,5,2026-03-26
571510,FF,42,2026-03-26
571510,SL,8,2026-03-26
571948,CH,3,2026-03-26
571948,FF,1,2026-03-26
571948,SI,6,2026-03-26
571948,ST,1,2026-03-26
572955,CU,5,2026-03-26
572955,FF,4,2026-03-26
573124,FC,3,2026-03-26
573124,SI,2,2026-03-26
573124,ST,5,2026-03-26
592773,FF,13,2026-03-26
592773,FS,5,2026-03-26
592773,SI,2,2026-03-26
592773,SL,6,2026-03-26
593974,CH,9,2026-03-26
593974,SI,5,2026-03-26
593974,SL,1,2026-03-26
594580,FF,1,2026-03-26
594580,SI,1,2026-03-26
594580,ST,4,2026-03-26
595014,FC,1,2026-03-26
595014,FF,1,2026-03-26
595014,SI,4,2026-03-26
595014,ST,9,2026-03-26
601713,CU,18,2026-03-26
601713,FC,3,2026-03-26
601713,FF,33,2026-03-26
601713,ST,15,2026-03-26
605447,FF,6,2026-03-26
605447,SL,6,2026-03-26
623437,CH,1,2026-03-26
623437,FC,1,2026-03-26
623437,SI,11,2026-03-26
623437,ST,5,2026-03-26
623454,CH,8,2026-03-26
623454,CU,5,2026-03-26
623454,FF,20,2026-03-26
623454,SL,3,2026-03-26
641302,CH,2,2026-03-26
641302,FC,1,2026-03-26
641302,SI,4,2026-03-26
641302,ST,2,2026-03-26
641401,CH,8,2026-03-26
641401,FC,2,2026-03-26
641401,FF,6,2026-03-26
642100,CH,1,2026-03-26
642100,FF,5,2026-03-26
642100,SI,8,2026-03-26
642100,SL,6,2026-03-26
642397,SI,1,2026-03-26
642397,SL,3,2026-03-26
642397,ST,4,2026-03-26
642547,CH,9,2026-03-26
642547,CU,19,2026-03-26
642547,FF,39,2026-03-26
642547,SL,13,2026-03-26
642701,CH,1,2026-03-26
642701,FF,7,2026-03-26
642701,SI,2,2026-03-26
642701,SL,8,2026-03-26
643377,CU,1,2026-03-26
643377,FF,2,2026-03-26
643377,SI,5,2026-03-26
643377,ST,6,2026-03-26
647315,FC,1,2026-03-26
647315,SI,15,2026-03-26
647315,SL,5,2026-03-26
650911,CH,27,2026-03-26
650911,SI,45,2026-03-26
650911,SL,15,2026-03-26
656222,CH,11,2026-03-26
656222,FC,1,2026-03-26
656222,FF,16,2026-03-26
656271,FF,1,2026-03-26
656271,SI,1,2026-03-26
656271,SL,1,2026-03-26
656457,FC,5,2026-03-26
656457,SI,9,2026-03-26
656457,ST,4,2026-03-26
656794,FF,11,2026-03-26
656794,SI,13,2026-03-26
656794,SV,9,2026-03-26
656876,CH,3,2026-03-26
656876,FC,32,2026-03-26
656876,FF,23,2026-03-26
656876,SI,12,2026-03-26
656876,ST,3,2026-03-26
656945,FF,2,2026-03-26
656945,SL,6,2026-03-26
657044,FF,1,2026-03-26
657044,SI,5,2026-03-26
657044,SL,5,2026-03-26
657097,CH,7,2026-03-26
657097,FF,7,2026-03-26
657097,ST,1,2026-03-26
657746,CU,14,2026-03-26
657746,FF,37,2026-03-26
657746,FS,10,2026-03-26
657746,SI,10,2026-03-26
657746,SL,8,2026-03-26
657746,ST,6,2026-03-26
661395,CH,2,2026-03-26
661395,FF,3,2026-03-26
661395,FS,6,2026-03-26
661395,ST,1,2026-03-26
663765,FC,6,2026-03-26
663765,FS,5,2026-03-26
663765,SI,2,2026-03-26
663765,ST,3,2026-03-26
663855,SI,27,2026-03-26
663855,ST,7,2026-03-26
663947,FC,4,2026-03-26
663947,FF,3,2026-03-26
663947,SI,2,2026-03-26
663947,ST,2,2026-03-26
664076,SI,3,2026-03-26
664076,SL,5,2026-03-26
664076,ST,1,2026-03-26
664199,CH,6,2026-03-26
664199,FC,2,2026-03-26
664199,FF,1,2026-03-26
664199,SI,2,2026-03-26
664199,SL,5,2026-03-26
664854,FF,9,2026-03-26
664854,FS,5,2026-03-26
664854,SL,5,2026-03-26
664875,FF,1,2026-03-26
664875,SI,6,2026-03-26
664875,ST,7,2026-03-26
666661,CH,5,2026-03-26
666661,FF,9,2026-03-26
666661,SL,3,2026-03-26
667755,CU,26,2026-03-26
667755,FF,23,2026-03-26
667755,FS,4,2026-03-26
667755,SI,31,2026-03-26
667755,SL,7,2026-03-26
668678,CH,10,2026-03-26
668678,CU,12,2026-03-26
668678,FF,35,2026-03-26
668678,SL,19,2026-03-26
668933,FC,9,2026-03-26
668933,SL,5,2026-03-26
668941,CH,1,2026-03-26
668941,FF,1,2026-03-26
668941,SI,4,2026-03-26
668941,ST,3,2026-03-26
668964,FC,6,2026-03-26
668964,FF,13,2026-03-26
668964,FS,5,2026-03-26
668964,SL,15,2026-03-26
668984,CH,2,2026-03-26
668984,FF,10,2026-03-26
668984,SI,13,2026-03-26
668984,ST,4,2026-03-26
669084,CH,8,2026-03-26
669084,CU,5,2026-03-26
669084,FC,2,2026-03-26
669084,FF,1,2026-03-26
669084,SI,8,2026-03-26
669084,SL,1,2026-03-26
669084,ST,2,2026-03-26
669302,CH,7,2026-03-26
669302,FC,18,2026-03-26
669302,FF,29,2026-03-26
669302,FS,14,2026-03-26
669302,SL,14,2026-03-26
669302,ST,4,2026-03-26
669330,CH,4,2026-03-26
669330,FC,3,2026-03-26
669330,FF,3,2026-03-26
669330,SL,4,2026-03-26
669373,CH,17,2026-03-26
669373,CU,3,2026-03-26
669373,FF,28,2026-03-26
669373,SI,15,2026-03-26
669373,SL,11,2026-03-26
669432,CH,26,2026-03-26
669432,FC,10,2026-03-26
669432,FF,34,2026-03-26
669432,SI,9,2026-03-26
669432,ST,9,2026-03-26
669461,CH,14,2026-03-26
669461,CU,10,2026-03-26
669461,FC,1,2026-03-26
669461,FF,29,2026-03-26
669461,SI,4,2026-03-26
669461,SL,20,2026-03-26
670990,CU,5,2026-03-26
670990,FF,15,2026-03-26
670990,SI,5,2026-03-26
670990,ST,11,2026-03-26
670990,UN,1,2026-03-26
671096,CH,11,2026-03-26
671096,CU,10,2026-03-26
671096,FF,45,2026-03-26
671096,ST,17,2026-03-26
671922,FF,10,2026-03-26
671922,FS,3,2026-03-26
672335,CU,3,2026-03-26
672335,FF,5,2026-03-26
672335,SI,2,2026-03-26
672335,SV,2,2026-03-26
672782,FC,9,2026-03-26
672782,FF,5,2026-03-26
672782,SI,7,2026-03-26
672782,ST,7,2026-03-26
673929,FF,6,2026-03-26
673929,SL,5,2026-03-26
676440,CH,24,2026-03-26
676440,CU,3,2026-03-26
676440,FC,21,2026-03-26
676440,FF,26,2026-03-26
676440,SI,4,2026-03-26
676477,CH,4,2026-03-26
676477,SI,8,2026-03-26
676477,SL,6,2026-03-26
676571,CH,7,2026-03-26
676571,FF,6,2026-03-26
676571,SI,3,2026-03-26
676571,ST,8,2026-03-26
676617,SI,10,2026-03-26
676617,SL,3,2026-03-26
676617,ST,4,2026-03-26
676684,CH,1,2026-03-26
676684,FF,3,2026-03-26
676684,SI,1,2026-03-26
676684,SL,2,2026-03-26
676755,CH,5,2026-03-26
676755,FF,28,2026-03-26
676755,SL,3,2026-03-26
676760,CH,14,2026-03-26
676760,FC,6,2026-03-26
676760,FF,22,2026-03-26
676760,ST,1,2026-03-26
676879,CU,5,2026-03-26
676879,FF,1,2026-03-26
676879,SI,5,2026-03-26
676917,CH,6,2026-03-26
676917,CU,21,2026-03-26
676917,FF,29,2026-03-26
676917,SI,10,2026-03-26
676917,ST,9,2026-03-26
676962,CH,1,2026-03-26
676962,CU,16,2026-03-26
676962,FF,23,2026-03-26
676962,SI,9,2026-03-26
676979,CH,2,2026-03-26
676979,FC,25,2026-03-26
676979,FF,30,2026-03-26
676979,SI,15,2026-03-26
676979,ST,8,2026-03-26
677865,CH,1,2026-03-26
677865,SI,4,2026-03-26
677865,ST,4,2026-03-26
678606,CH,1,2026-03-26
678606,SI,10,2026-03-26
679775,CH,1,2026-03-26
679775,SI,11,2026-03-26
679775,ST,8,2026-03-26
680742,FF,4,2026-03-26
680742,SI,3,2026-03-26
680742,ST,1,2026-03-26
681217,FS,1,2026-03-26
681343,CH,15,2026-03-26
681343,CU,2,2026-03-26
681343,FF,28,2026-03-26
681343,SI,5,2026-03-26
681343,SL,4,2026-03-26
681867,CH,7,2026-03-26
681867,FC,3,2026-03-26
681867,SI,6,2026-03-26
681867,ST,1,2026-03-26
681870,CU,1,2026-03-26
681870,FF,7,2026-03-26
681870,SL,8,2026-03-26
681892,CH,2,2026-03-26
681892,FC,5,2026-03-26
681892,SI,7,2026-03-26
681892,SL,1,2026-03-26
681892,ST,2,2026-03-26
681982,FF,2,2026-03-26
681982,SI,2,2026-03-26
681982,ST,3,2026-03-26
682254,CU,11,2026-03-26
682254,FF,26,2026-03-26
682254,SL,5,2026-03-26
683175,FF,3,2026-03-26
683175,ST,13,2026-03-26
685005,CH,2,2026-03-26
685005,FF,7,2026-03-26
685005,SI,17,2026-03-26
685005,SL,7,2026-03-26
686580,FC,10,2026-03-26
686580,FF,3,2026-03-26
686580,ST,4,2026-03-26
686613,CH,5,2026-03-26
686613,CU,28,2026-03-26
686613,FF,32,2026-03-26
686613,SI,31,2026-03-26
686613,SL,6,2026-03-26
687911,FF,7,2026-03-26
687911,SI,2,2026-03-26
687911,ST,8,2026-03-26
688158,CU,5,2026-03-26
688158,FF,10,2026-03-26
688158,SI,2,2026-03-26
688158,SL,2,2026-03-26
688297,FC,3,2026-03-26
688297,FF,2,2026-03-26
688297,SI,8,2026-03-26
690925,FF,11,2026-03-26
690925,SL,13,2026-03-26
691945,CU,13,2026-03-26
691945,FF,9,2026-03-26
691945,SI,3,2026-03-26
691945,SL,1,2026-03-26
693855,CH,5,2026-03-26
693855,FC,3,2026-03-26
693855,FF,4,2026-03-26
693855,SI,5,2026-03-26
693855,SL,3,2026-03-26
693855,ST,1,2026-03-26
694335,FC,3,2026-03-26
694335,SI,7,2026-03-26
694335,ST,6,2026-03-26
694361,CU,4,2026-03-26
694361,FF,4,2026-03-26
694361,ST,1,2026-03-26
694819,CH,3,2026-03-26
694819,CU,10,2026-03-26
694819,FC,3,2026-03-26
694819,FF,61,2026-03-26
694819,SL,17,2026-03-26
694851,CH,13,2026-03-26
694851,FF,15,2026-03-26
694851,SL,5,2026-03-26
694973,CH,8,2026-03-26
694973,CU,1,2026-03-26
694973,FF,13,2026-03-26
694973,FS,1,2026-03-26
694973,SI,8,2026-03-26
694973,ST,6,2026-03-26
695418,CH,8,2026-03-26
695418,FF,13,2026-03-26
695418,SI,13,2026-03-26
695418,SL,8,2026-03-26
695418,ST,5,2026-03-26
699134,CH,5,2026-03-26
699134,FF,4,2026-03-26
699134,SI,9,2026-03-26
699134,SL,2,2026-03-26
699151,CH,12,2026-03-26
699151,CU,4,2026-03-26
699151,FC,3,2026-03-26
699151,FF,16,2026-03-26
699151,SI,1,2026-03-26
700712,FF,2,2026-03-26
700712,SI,7,2026-03-26
700712,ST,5,2026-03-26
805123,CH,10,2026-03-26
805123,FF,21,2026-03-26
805123,ST,10,2026-03-26
808967,CU,15,2026-03-26
808967,FC,17,2026-03-26
808967,FF,21,2026-03-26
808967,FS,26,2026-03-26
808967,SI,9,2026-03-26
808967,SL,7,2026-03-26
445276,FC,8,2026-03-27
445276,SI,2,2026-03-27
445276,SL,1,2026-03-27
518585,FF,4,2026-03-27
518585,FS,5,2026-03-27
518585,SL,1,2026-03-27
519242,CH,9,2026-03-27
519242,FF,43,2026-03-27
519242,SI,2,2026-03-27
519242,SL,34,2026-03-27
579328,CU,4,2026-03-27
579328,FC,15,2026-03-27
579328,FF,17,2026-03-27
579328,FS,22,2026-03-27
579328,SL,28,2026-03-27
592332,FF,41,2026-03-27
592332,FS,36,2026-03-27
592332,SL,6,2026-03-27
592662,CU,7,2026-03-27
592662,FF,46,2026-03-27
592662,SL,36,2026-03-27
593974,CH,8,2026-03-27
593974,SI,7,2026-03-27
593974,SL,2,2026-03-27
595345,FF,7,2026-03-27
595345,SL,13,2026-03-27
605130,CU,6,2026-03-27
605130,FF,1,2026-03-27
605130,SI,3,2026-03-27
605130,ST,5,2026-03-27
605447,FF,5,2026-03-27
605447,SL,8,2026-03-27
607536,CH,9,2026-03-27
607536,CU,22,2026-03-27
607536,FC,13,2026-03-27
607536,FF,22,2026-03-27
607536,SI,5,2026-03-27
607536,ST,10,2026-03-27
621242,FF,10,2026-03-27
621242,SL,7,2026-03-27
621366,SI,8,2026-03-27
621366,SL,4,2026-03-27
622663,CH,5,2026-03-27
622663,FC,22,2026-03-27
622663,FF,23,2026-03-27
622663,SI,16,2026-03-27
622663,SL,1,2026-03-27
622663,ST,17,2026-03-27
623474,CH,1,2026-03-27
623474,FF,2,2026-03-27
623474,SI,6,2026-03-27
623474,SL,6,2026-03-27
623474,ST,5,2026-03-27
640448,FF,13,2026-03-27
640448,FS,6,2026-03-27
640448,SL,1,2026-03-27
641755,CU,2,2026-03-27
641755,FF,2,2026-03-27
641755,SL,9,2026-03-27
642528,CH,4,2026-03-27
642528,CU,4,2026-03-27
642528,FF,2,2026-03-27
642528,SI,4,2026-03-27
643511,SI,11,2026-03-27
