pitcher,date,bf,hr_allowed,hand
608331,2026-03-25,23,0,L
656234,2026-03-25,2,0,R
657277,2026-03-25,26,0,R
664141,2026-03-25,7,0,R
666808,2026-03-25,4,0,R
668873,2026-03-25,3,0,R
676775,2026-03-25,4,0,R
687396,2026-03-25,5,0,L
472610,2026-03-26,6,0,R
519141,2026-03-26,3,0,L
542888,2026-03-26,3,1,R
543135,2026-03-26,22,2,R
547973,2026-03-26,3,0,L
571510,2026-03-26,17,1,L
571948,2026-03-26,5,0,L
572955,2026-03-26,3,0,R
573124,2026-03-26,4,0,L
592773,2026-03-26,6,0,R
593974,2026-03-26,4,0,L
594580,2026-03-26,3,0,L
595014,2026-03-26,4,0,R
601713,2026-03-26,19,0,R
605447,2026-03-26,4,0,R
623437,2026-03-26,5,0,R
623454,2026-03-26,8,1,R
641302,2026-03-26,3,0,L
641401,2026-03-26,4,0,R
642100,2026-03-26,6,0,L
642397,2026-03-26,3,0,L
642547,2026-03-26,21,2,R
642701,2026-03-26,4,0,R
643377,2026-03-26,3,1,R
647315,2026-03-26,4,0,R
650911,2026-03-26,21,0,L
656222,2026-03-26,5,0,L
656271,2026-03-26,2,0,L
656457,2026-03-26,6,1,L
656794,2026-03-26,10,0,L
656876,2026-03-26,20,1,R
656945,2026-03-26,3,0,L
657044,2026-03-26,3,0,R
657097,2026-03-26,5,1,R
657746,2026-03-26,19,0,R
661395,2026-03-26,3,0,R
663765,2026-03-26,4,1,R
663855,2026-03-26,7,0,R
663947,2026-03-26,3,0,L
664076,2026-03-26,3,0,L
664199,2026-03-26,5,1,R
664854,2026-03-26,4,0,R
664875,2026-03-26,5,2,R
666661,2026-03-26,5,0,R
667755,2026-03-26,24,0,R
668678,2026-03-26,19,1,R
668933,2026-03-26,3,0,R
668941,2026-03-26,4,0,L
668964,2026-03-26,10,1,R
668984,2026-03-26,6,0,R
669084,2026-03-26,6,0,L
669302,2026-03-26,21,1,R
669330,2026-03-26,4,0,R
669373,2026-03-26,22,0,L
669432,2026-03-26,27,0,L
669461,2026-03-26,24,1,L
670990,2026-03-26,9,0,R
671096,2026-03-26,24,0,L
671922,2026-03-26,3,0,R
672335,2026-03-26,3,0,L
672782,2026-03-26,9,0,R
