game_pk,condition,temp,wind
823244,Partly Cloudy,63,"19 mph, Out To CF"
823081,Partly Cloudy,91,"16 mph, Out To LF"
823163,Clear,52,"5 mph, Out To CF"
823325,Sunny,74,"7 mph, L To R"
823486,Partly Cloudy,76,"16 mph, Out To CF"
823649,Sunny,67,"4 mph, Out To CF"
823812,Roof Closed,65,"0 mph, None"
823974,Clear,76,"7 mph, Out To RF"
824218,Roof Closed,73,"0 mph, None"
824541,Sunny,81,"15 mph, R To L"
824704,Cloudy,49,"22 mph, In From LF"
824865,Partly Cloudy,77,"10 mph, Out To LF"
822839,Roof Closed,68,"0 mph, None"
823162,Cloudy,52,"7 mph, In From LF"
823243,Partly Cloudy,64,"6 mph, Out To CF"
823324,Partly Cloudy,66,"7 mph, L To R"
823893,Partly Cloudy,79,"2 mph, In From LF"
823971,Partly Cloudy,67,"2 mph, Out To RF"
824216,Roof Closed,73,"0 mph, None"
824946,Partly Cloudy,77,"12 mph, R To L"
822838,Roof Closed,68,"0 mph, None"
823082,Sunny,51,"5 mph, Out To CF"
823161,Partly Cloudy,53,"6 mph, In From LF"
823241,Sunny,61,"13 mph, Varies"
823323,Partly Cloudy,71,"11 mph, L To R"
823488,Sunny,45,"18 mph, In From LF"
823651,Sunny,42,"4 mph, L To R"
823811,Roof Closed,63,"0 mph, None"
823892,Roof Closed,72,"0 mph, None"
823973,Partly Cloudy,76,"6 mph, L To R"
824213,Roof Closed,73,"0 mph, None"
824540,Sunny,49,"2 mph, L To R"
824701,Sunny,41,"9 mph, Out To CF"
824862,Sunny,46,"9 mph, In From LF"
824945,Clear,64,"10 mph, L To R"
822837,Roof Closed,68,"0 mph, None"
823079,Partly Cloudy,65,"11 mph, Out To LF"
823160,Roof Closed,43,"0 mph, None"
823487,Sunny,54,"13 mph, Out To CF"
823647,Sunny,49,"4 mph, Out To LF"
823810,Roof Closed,62,"0 mph, None"
823891,Roof Closed,72,"0 mph, None"
824215,Roof Closed,73,"0 mph, None"
824538,Partly Cloudy,60,"11 mph, R To L"
824700,Cloudy,59,"4 mph, Out To CF"
824864,Partly Cloudy,56,"13 mph, Out To LF"
824944,Cloudy,57,"10 mph, L To R"
822834,Roof Closed,68,"0 mph, None"
823080,Clear,84,"14 mph, Out To LF"
823159,Clear,48,"12 mph, L To R"
823320,Cloudy,68,"6 mph, Out To RF"
823484,Cloudy,67,"16 mph, Out To CF"
823809,Roof Closed,64,"0 mph, None"
823890,Roof Closed,72,"0 mph, None"
823972,Partly Cloudy,68,"1 mph, Calm"
824135,Sunny,85,"18 mph, R To L"
824214,Roof Closed,73,"0 mph, None"
824539,Partly Cloudy,74,"14 mph, In From RF"
824702,Partly Cloudy,77,"18 mph, Out To LF"
824863,Partly Cloudy,70,"8 mph, Out To RF"
824943,Cloudy,70,"5 mph, In From LF"
825108,Cloudy,88,"6 mph, Varies"
822836,Roof Closed,68,"0 mph, None"
823077,Partly Cloudy,80,"10 mph, Out To LF"
823158,Partly Cloudy,53,"0 mph, None"
823322,Overcast,67,"5 mph, L To R"
823485,Partly Cloudy,78,"16 mph, Out To CF"
823807,Roof Closed,65,"0 mph, None"
823888,Partly Cloudy,77,"13 mph, In From LF"
823969,Overcast,66,"4 mph, L To R"
824212,Roof Closed,73,"0 mph, None"
824537,Partly Cloudy,78,"16 mph, R To L"
824699,Cloudy,44,"14 mph, In From CF"
824861,Partly Cloudy,82,"17 mph, Out To CF"
824942,Partly Cloudy,79,"10 mph, R To L"
825107,Partly Cloudy,86,"1 mph, In From RF"
822835,Roof Closed,68,"0 mph, None"
823078,Overcast,58,"7 mph, L To R"
823157,Roof Closed,47,"0 mph, None"
823321,Partly Cloudy,70,"10 mph, L To R"
823483,Cloudy,79,"10 mph, L To R"
823806,Roof Closed,62,"0 mph, None"
823889,Roof Closed,72,"0 mph, None"
823970,Partly Cloudy,68,"12 mph, Varies"
824136,Cloudy,55,"6 mph, In From RF"
824211,Roof Closed,73,"0 mph, None"
824536,Partly Cloudy,73,"8 mph, R To L"
824698,Cloudy,39,"21 mph, In From LF"
824860,Partly Cloudy,81,"5 mph, Out To RF"
824940,Partly Cloudy,72,"3 mph, Out To LF"
825106,Partly Cloudy,80,"11 mph, Varies"
823242,Clear,56,"12 mph, Out To CF"
824133,Partly Cloudy,72,"14 mph, R To L"
825105,Partly Cloudy,80,"0 mph, None"
822758,Partly Cloudy,62,"4 mph, Out To RF"
822919,Roof Closed,74,"0 mph, None"
823240,Clear,59,"8 mph, Out To CF"
823406,Cloudy,75,"16 mph, Out To LF"
823568,Partly Cloudy,58,"8 mph, Out To LF"
823732,Overcast,38,"9 mph, In From LF"
824056,Partly Cloudy,77,"12 mph, Out To LF"
824299,Partly Cloudy,73,"18 mph, Out To LF"
824377,Sunny,51,"19 mph, In From LF"
824458,Cloudy,70,"10 mph, L To R"
824621,Partly Cloudy,53,"6 mph, L To R"
824786,Sunny,56,"6 mph, Out To CF"
825026,Clear,73,"3 mph, Out To RF"
825103,Partly Cloudy,83,"4 mph, In From CF"
822757,Partly Cloudy,87,"5 mph, Out To LF"
822920,Roof Closed,74,"0 mph, None"
823239,Partly Cloudy,67,"10 mph, Out To CF"
823404,Partly Cloudy,82,"15 mph, Out To LF"
823569,Partly Cloudy,52,"14 mph, L To R"
823730,Cloudy,39,"14 mph, Out To RF"
824054,Partly Cloudy,82,"8 mph, Out To LF"
824132,Partly Cloudy,47,"15 mph, L To R"
824134,Partly Cloudy,55,"15 mph, L To R"
824295,Partly Cloudy,56,"15 mph, In From RF"
824378,Clear,60,"7 mph, R To L"
824622,Cloudy,50,"16 mph, Out To LF"
824782,Cloudy,43,"13 mph, In From RF"
825027,Sunny,76,"4 mph, Out To RF"
825104,Partly Cloudy,89,"1 mph, Varies"
822756,Overcast,60,"4 mph, In From LF"
822917,Partly Cloudy,68,"12 mph, Varies"
823238,Sunny,74,"11 mph, Varies"
823405,Partly Cloudy,45,"16 mph, Out To LF"
823566,Rain,55,"6 mph, L To R"
823729,Partly Cloudy,50,"13 mph, R To L"
824053,Sunny,83,"2 mph, Calm"
824131,Sunny,56,"10 mph, L To R"
824296,Cloudy,44,"15 mph, Out To LF"
824379,Sunny,60,"9 mph, In From CF"
824459,Cloudy,44,"15 mph, L To R"
824460,Partly Cloudy,44,"16 mph, L To R"
824620,Partly Cloudy,50,"4 mph, Out To LF"
824781,Overcast,47,"2 mph, Out To RF"
825025,Partly Cloudy,78,"4 mph, Out To RF"
825102,Roof Closed,76,"0 mph, None"
822755,Partly Cloudy,61,"7 mph, In From CF"
822832,Roof Closed,68,"0 mph, None"
822918,Partly Cloudy,70,"6 mph, Varies"
823002,Dome,72,"0 mph, None"
823237,Partly Cloudy,55,"14 mph, Out To CF"
823401,Drizzle,52,"12 mph, Out To CF"
823728,Clear,37,"6 mph, R To L"
823886,Roof Closed,72,"0 mph, None"
824052,Clear,72,"8 mph, Out To CF"
824376,Cloudy,65,"12 mph, In From LF"
824456,Partly Cloudy,47,"5 mph, L To R"
824619,Cloudy,48,"3 mph, Out To CF"
824783,Partly Cloudy,46,"9 mph, Out To RF"
822754,Clear,51,"14 mph, In From LF"
822831,Roof Closed,68,"0 mph, None"
822916,Overcast,71,"8 mph, Varies"
822999,Dome,69,"0 mph, None"
823235,Partly Cloudy,59,"12 mph, Out To CF"
823402,Clear,41,"9 mph, Out To RF"
823567,Clear,43,"16 mph, Out To RF"
823648,Sunny,50,"17 mph, L To R"
823727,Partly Cloudy,44,"11 mph, R To L"
823887,Roof Closed,72,"0 mph, None"
824051,Clear,72,"9 mph, Out To LF"
824375,Partly Cloudy,71,"6 mph, In From CF"
824457,Sunny,33,"10 mph, L To R"
824618,Sunny,36,"9 mph, In From LF"
824780,Clear,42,"12 mph, L To R"
822753,Sunny,52,"6 mph, Out To LF"
822833,Roof Closed,68,"0 mph, None"
822915,Roof Closed,74,"0 mph, None"
823000,Dome,72,"0 mph, None"
823234,Partly Cloudy,63,"11 mph, Varies"
823403,Sunny,46,"8 mph, In From CF"
823564,Clear,44,"8 mph, R To L"
823646,Sunny,48,"6 mph, Out To LF"
823726,Partly Cloudy,51,"15 mph, Out To CF"
823885,Roof Closed,72,"0 mph, None"
824050,Sunny,74,"4 mph, Out To CF"
824374,Partly Cloudy,71,"13 mph, In From LF"
824455,Sunny,50,"8 mph, Out To LF"
824617,Partly Cloudy,58,"18 mph, In From RF"
824779,Sunny,43,"8 mph, In From RF"
823319,Cloudy,69,"7 mph, L To R"
823565,Sunny,50,"10 mph, Out To LF"
823645,Clear,45,"9 mph, Out To LF"
823724,Partly Cloudy,45,"6 mph, Out To RF"
823884,Roof Closed,72,"0 mph, None"
824130,Partly Cloudy,78,"9 mph, Out To LF"
822829,Roof Closed,68,"0 mph, None"
822997,Dome,72,"0 mph, None"
823076,Cloudy,63,"11 mph, In From RF"
823156,Overcast,64,"0 mph, None"
823318,Partly Cloudy,64,"8 mph, L To R"
823482,Clear,68,"12 mph, Out To CF"
823643,Clear,52,"11 mph, Out To CF"
823808,Roof Closed,65,"0 mph, None"
823968,Clear,65,"8 mph, L To R"
824128,Cloudy,57,"8 mph, In From RF"
824297,Cloudy,52,"7 mph, In From LF"
824534,Overcast,70,"12 mph, R To L"
824695,Sunny,49,"10 mph, In From LF"
824858,Partly Cloudy,66,"7 mph, Out To LF"
824941,Clear,76,"3 mph, L To R"
