date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_arsenal,f_pit,f_park,f_wind,f_temp,wind,hr_pa,p,odds_dk,odds_mgm,odds_czr,fair
2026-09-12,824870,656941,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,0,Tyler Mahle,641816,R,44,637,4.5,1.87,1.18,1.08,1.01,1.02,1.0,1.0,,0.05869,23.8,281,250,255,+320
2026-09-12,823496,700250,Ben Rice,New York Yankees,New York Mets,1,Zac Thornton,804267,L,37,608,4.3,1.68,0.98,1.04,1.09,1.08,1.0,1.01,,0.06021,23.4,,,,+327
2026-09-12,822927,670541,Yordan Alvarez,Houston Astros,Tampa Bay Rays,0,Ian Seymour,693855,L,38,637,4.4,1.66,1.06,0.97,1.17,0.98,1.0,1.0,,0.05753,22.9,350,340,320,+337
2026-09-12,823496,592450,Aaron Judge,New York Yankees,New York Mets,1,Zac Thornton,804267,L,17,272,4.4,1.51,1.09,0.99,1.09,1.08,1.0,1.01,,0.0541,21.7,212,175,205,+361
2026-09-12,823496,665742,Juan Soto,New York Mets,New York Yankees,0,Gerrit Cole,543037,R,24,412,4.3,1.53,1.2,1.04,1.08,1.08,1.0,1.01,,0.05441,21.4,265,230,255,+367
2026-09-12,824870,621566,Matt Olson,Atlanta Braves,Philadelphia Phillies,1,TBD,,,38,640,4.3,1.65,1.0,1.0,1.0,1.02,1.0,1.0,,0.05134,20.3,346,380,350,+393
2026-09-12,823737,694192,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,1,Brady Singer,663903,R,23,515,4.6,1.3,1.07,0.85,1.13,1.05,1.0,1.0,,0.0471,19.9,403,325,400,+403
2026-09-12,823496,671277,Luis García Jr.,New York Yankees,New York Mets,1,Zac Thornton,804267,L,30,503,3.7,1.61,0.95,1.14,1.09,1.08,1.0,1.01,,0.05774,19.8,,,,+405
2026-09-12,824630,691718,Pete Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,1,Paul Skenes,694973,R,41,664,4.5,1.72,1.17,1.05,0.92,1.0,1.0,1.0,,0.04779,19.8,238,200,235,+405
2026-09-12,824224,696100,Hunter Goodman,Colorado Rockies,Detroit Tigers,0,Andrew Sears,808825,L,37,526,4.1,1.84,1.01,1.09,0.97,0.95,0.78,1.03,WIND 11 IN,0.05178,19.6,304,300,290,+410
2026-09-12,822927,691406,Junior Caminero,Tampa Bay Rays,Houston Astros,1,Peter Lambert,663567,R,40,643,4.4,1.72,1.19,0.97,0.92,0.98,1.0,1.0,,0.04685,19.0,283,270,280,+426
2026-09-12,823496,596019,Francisco Lindor,New York Mets,New York Yankees,0,Gerrit Cole,543037,R,18,397,4.4,1.28,1.11,1.05,1.08,1.08,1.0,1.01,,0.0455,18.5,328,300,320,+441
2026-09-12,823737,641343,Jake Bauers,Milwaukee Brewers,Cincinnati Reds,1,Brady Singer,663903,R,25,527,4.0,1.36,1.08,1.12,1.13,1.05,1.0,1.0,,0.04931,18.3,343,350,330,+446
2026-09-12,823737,701398,Sal Stewart,Cincinnati Reds,Milwaukee Brewers,0,TBD,,,31,636,4.3,1.41,1.0,1.0,1.0,1.05,1.0,1.0,,0.04518,18.0,415,340,390,+456
2026-09-12,823009,808959,Munetaka Murakami,Chicago White Sox,St. Louis Cardinals,0,Kyle Leahy,681517,R,31,487,4.3,1.68,1.2,1.01,0.94,0.94,1.0,1.0,,0.04515,18.0,422,390,390,+456
2026-09-12,823737,682829,Elly De La Cruz,Cincinnati Reds,Milwaukee Brewers,0,TBD,,,26,571,4.5,1.33,1.0,1.0,1.0,1.05,1.0,1.0,,0.0425,17.8,459,425,425,+462
2026-09-12,824224,693307,Dillon Dingler,Detroit Tigers,Colorado Rockies,1,Tanner Gordon,685299,R,27,567,4.2,1.37,1.2,1.04,1.12,0.95,0.78,1.03,WIND 11 IN,0.04456,17.4,,,,+475
2026-09-12,822768,672960,Kazuma Okamoto,Toronto Blue Jays,Baltimore Orioles,1,Kyle Bradish,680694,R,31,580,4.1,1.5,1.08,1.02,0.97,1.01,1.16,1.02,WIND 8 OUT,0.04447,17.0,418,360,425,+488
2026-09-12,822685,695578,James Wood,Washington Nationals,Los Angeles Angels,1,Walbert Ureña,700712,R,30,570,4.7,1.48,1.14,0.9,0.86,1.0,1.0,1.0,,0.03894,17.0,368,390,370,+488
2026-09-12,822927,572233,Christian Walker,Houston Astros,Tampa Bay Rays,0,Ian Seymour,693855,L,25,583,4.1,1.27,0.99,0.96,1.17,0.98,1.0,1.0,,0.04419,16.9,460,450,425,+492
2026-09-12,823170,646240,Rafael Devers,San Francisco Giants,San Diego Padres,1,Michael King,650633,R,36,629,4.3,1.6,1.2,0.85,0.95,0.91,1.0,1.0,,0.0419,16.8,419,310,390,+495
2026-09-12,822927,665161,Jeremy Peña,Houston Astros,Tampa Bay Rays,0,Ian Seymour,693855,L,17,424,4.3,1.19,0.9,0.99,1.17,0.98,1.0,1.0,,0.04125,16.6,510,450,500,+502
2026-09-12,823496,502671,Paul Goldschmidt,New York Yankees,New York Mets,1,Zac Thornton,804267,L,18,359,3.6,1.36,1.2,1.03,1.09,1.08,1.0,1.01,,0.04876,16.5,408,310,390,+506
2026-09-12,823737,553993,Eugenio Suárez,Cincinnati Reds,Milwaukee Brewers,0,TBD,,,22,450,4.0,1.37,1.0,1.0,1.0,1.05,1.0,1.0,,0.04373,16.4,519,350,500,+510
2026-09-12,824870,547180,Bryce Harper,Philadelphia Phillies,Atlanta Braves,0,Tyler Mahle,641816,R,27,631,4.3,1.28,1.2,1.13,1.01,1.02,1.0,1.0,,0.04015,16.2,475,425,425,+517
2026-09-12,822768,624413,Pete Alonso,Baltimore Orioles,Toronto Blue Jays,0,Spencer Miles,693686,R,34,642,4.3,1.51,1.14,0.93,0.86,1.01,1.16,1.02,WIND 8 OUT,0.03984,16.0,341,270,305,+525
2026-09-12,823737,668709,JJ Bleday,Cincinnati Reds,Milwaukee Brewers,0,TBD,,,22,493,4.1,1.29,1.0,1.0,1.0,1.05,1.0,1.0,,0.04136,15.9,598,500,575,+529
2026-09-12,824870,686948,Drake Baldwin,Atlanta Braves,Philadelphia Phillies,1,TBD,,,23,554,4.4,1.24,1.0,1.0,1.0,1.02,1.0,1.0,,0.03851,15.9,495,525,500,+529
2026-09-12,823009,695657,Colson Montgomery,Chicago White Sox,St. Louis Cardinals,0,Kyle Leahy,681517,R,31,587,4.2,1.49,1.08,0.91,0.94,0.94,1.0,1.0,,0.04006,15.8,455,450,425,+533
2026-09-12,825035,606466,Ketel Marte,Arizona Diamondbacks,Texas Rangers,1,Kumar Rocker,677958,R,22,561,4.4,1.19,0.93,1.08,1.04,1.01,1.0,1.0,,0.03817,15.7,396,425,390,+537
2026-09-12,823657,665019,Kody Clemens,Minnesota Twins,Cleveland Guardians,1,Daniel Espino,682982,R,26,526,4.0,1.4,1.16,1.15,0.98,0.99,1.0,1.0,,0.04159,15.6,443,400,390,+541
2026-09-12,825035,571448,Nolan Arenado,Arizona Diamondbacks,Texas Rangers,1,Kumar Rocker,677958,R,24,541,3.9,1.3,1.02,1.05,1.04,1.01,1.0,1.0,,0.04159,15.3,710,600,700,+554
2026-09-12,823009,678246,Miguel Vargas,Chicago White Sox,St. Louis Cardinals,0,Kyle Leahy,681517,R,30,639,4.4,1.37,0.97,0.97,0.94,0.94,1.0,1.0,,0.0369,15.2,422,550,425,+558
2026-09-12,824630,664040,Brandon Lowe,Pittsburgh Pirates,Chicago Cubs,0,Clay Holmes,605280,R,29,601,4.4,1.4,1.19,0.85,0.86,1.0,1.0,1.0,,0.03664,15.1,396,310,390,+562
2026-09-12,822685,682928,CJ Abrams,Washington Nationals,Los Angeles Angels,1,Walbert Ureña,700712,R,30,604,4.3,1.43,1.17,0.97,0.86,1.0,1.0,1.0,,0.03748,15.1,536,475,500,+562
2026-09-12,825035,608369,Corey Seager,Texas Rangers,Arizona Diamondbacks,0,Brandon Pfaadt,694297,R,17,374,4.2,1.28,1.11,1.0,0.96,1.01,1.0,1.0,,0.03783,15.0,423,425,390,+567
2026-09-12,825035,669394,Jake Burger,Texas Rangers,Arizona Diamondbacks,0,Brandon Pfaadt,694297,R,26,562,4.0,1.34,0.9,1.05,0.96,1.01,1.0,1.0,,0.03978,15.0,447,525,425,+567
2026-09-12,823737,668930,Brice Turang,Milwaukee Brewers,Cincinnati Reds,1,Brady Singer,663903,R,18,621,4.5,0.97,1.15,1.02,1.13,1.05,1.0,1.0,,0.03519,14.9,579,500,525,+571
2026-09-12,824224,666160,Mickey Moniak,Colorado Rockies,Detroit Tigers,0,Andrew Sears,808825,L,22,399,3.8,1.47,0.95,1.03,0.97,0.95,0.78,1.03,WIND 11 IN,0.04128,14.8,,,,+576
2026-09-12,823819,571970,Max Muncy,Los Angeles Dodgers,Miami Marlins,0,Tyler Phillips,663969,R,27,508,3.8,1.47,1.12,0.85,1.0,0.92,1.0,1.0,,0.04121,14.8,419,425,400,+576
2026-09-12,824870,671739,Michael Harris II,Atlanta Braves,Philadelphia Phillies,1,TBD,,,24,565,4.0,1.26,1.0,1.0,1.0,1.02,1.0,1.0,,0.03921,14.8,568,525,575,+576
