date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_arsenal,f_pit,f_park,f_wind,f_temp,wind,hr_pa,p,odds_dk,odds_mgm,odds_czr,fair,played,pa_actual,hr_actual,hr_yes,graded_at
2026-08-12,825047,696100,Hunter Goodman,Colorado Rockies,Arizona Diamondbacks,0,Merrill Kelly,518876,R,34,456,4.1,2.01,1.19,,1.16,1.01,1.0,,ROOF,,30.7,337,280,330,+226,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824967,691406,Junior Caminero,Tampa Bay Rays,Athletics,0,Jack Perkins,678022,R,35,520,4.4,1.87,1.17,,1.12,1.0,1.0,,,,29.0,204,175,198,+245,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,700250,Ben Rice,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,32,487,4.3,1.82,1.13,,1.11,1.08,1.0,,,,28.6,252,210,245,+250,1,5,0,0,2026-08-13T05:31:35Z
2026-08-12,823017,656941,Kyle Schwarber,Philadelphia Phillies,St. Louis Cardinals,0,Kyle Leahy,681517,R,35,513,4.4,1.89,1.12,,0.94,0.94,1.22,,WIND 11 OUT,,27.3,370,,330,+266,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824562,808959,Munetaka Murakami,Chicago White Sox,Cincinnati Reds,1,Rhett Lowder,695076,R,26,363,4.4,1.87,1.2,,0.97,1.05,1.0,,,,27.2,269,220,235,+268,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823187,670541,Yordan Alvarez,Houston Astros,San Francisco Giants,0,Adrian Houser,605288,R,35,526,4.4,1.86,1.11,,1.05,0.91,1.12,,WIND 6 OUT,,26.4,300,320,290,+279,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,825047,666160,Mickey Moniak,Colorado Rockies,Arizona Diamondbacks,0,Merrill Kelly,518876,R,19,306,3.7,1.63,1.17,,1.16,1.01,1.0,,ROOF,,23.0,433,390,425,+335,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823511,671277,Luis García Jr.,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,24,399,3.6,1.65,1.13,,1.11,1.08,1.0,,,,22.5,364,280,350,+344,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824883,621566,Matt Olson,Atlanta Braves,New York Mets,1,Zac Thornton,804267,L,35,525,4.4,1.86,1.02,,0.93,1.02,1.0,,,,22.2,282,270,280,+350,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823017,547180,Bryce Harper,Philadelphia Phillies,St. Louis Cardinals,0,Kyle Leahy,681517,R,25,515,4.2,1.43,1.2,,0.94,0.94,1.22,,WIND 11 OUT,,21.7,550,,500,+361,1,4,0,0,2026-08-13T05:31:35Z
