player_id,name,so,pa
543807,George Springer,91,502
595879,Javier Báez,38,185
605137,Josh Bell,122,610
605170,Victor Caratini,77,375
624413,Pete Alonso,163,678
650402,Gleyber Torres,79,411
650968,Yohel Pozo,6,55
656716,Zach McKinstry,68,415
660688,Keibert Ruiz,36,341
664702,Myles Straw,41,316
664770,Nathan Lukes,63,429
665019,Kody Clemens,124,561
665489,Vladimir Guerrero Jr.,78,596
665750,Leody Taveras,124,474
665926,Andrés Giménez,92,493
665953,Andrés Chaparro,48,213
665966,Carlos Narváez,90,276
668800,Andrew Knizner,13,68
668885,Austin Martin,66,353
668904,Royce Lewis,123,490
668952,Ryan Kreidler,59,257
669236,Jeremiah Jackson,63,276
669701,Josh Smith,52,226
672386,Alejandro Kirk,36,295
672960,Kazuma Okamoto,177,613
676391,Ernie Clement,56,601
676480,José Barrero,0,0
676914,Davis Schneider,49,144
677588,José Tena,89,287
677956,Rece Hinds,27,63
678218,Brandon Valenzuela,68,264
678391,Jorbit Vivas,52,351
678545,Osleivis Basabe,28,137
679529,Spencer Torkelson,184,590
680664,Eduardo Valencia,27,115
680777,Ryan Jeffers,60,353
681047,Christian Franklin,12,45
681297,Colton Cowser,118,378
682674,Victor Bericoto,27,97
682928,CJ Abrams,152,631
682985,Riley Greene,152,570
683002,Gunnar Henderson,151,686
683083,Nasim Nuñez,97,480
683766,Christian Koss,48,200
686611,Dylan Crews,101,419
686797,Brooks Lee,98,605
687529,Grant McCray,27,89
687551,Drew Gilbert,68,380
687637,Dylan Beavers,90,340
687952,Christian Encarnacion-Strand,54,198
690993,Colt Keith,84,423
691002,Yohandy Morales,11,35
691181,Emmanuel Rodriguez,12,34
691723,Coby Mayo,130,433
691781,Brady House,86,336
693306,Aaron Sabato,0,0
693307,Dillon Dingler,136,590
694212,Samuel Basallo,104,397
694376,Shay Whitcomb,31,108
694673,Abimelec Ortiz,34,128
695391,Brett Harris,10,33
695578,James Wood,169,598
695670,Harry Ford,27,111
695734,Daylen Lile,124,634
696285,Jacob Young,75,456
701162,Ben Malgeri,34,124
701678,Hao-Yu Lee,83,335
701852,Drew Cavanaugh,46,155
702176,Alan Roden,12,84
703520,Brett Bateman,34,170
703601,Max Clark,36,184
805346,Ben Ross,11,19
805805,Walker Jenkins,17,71
805808,Kevin McGonigle,92,684
805811,Bryce Eldridge,119,448
806367,Turner Hill,19,110
807712,Luke Keaschall,85,594
807726,John Peck,14,62
807727,Charles McAdoo,23,95
808982,Jung Hoo Lee,57,579
813841,Jonah Cox,55,144
814154,Scott Bandura,9,17
814430,Brett Callahan,23,70
815873,Sean Keys,18,52
