id,kind,so,denom,season
434378,P,137,662,2025
445276,P,57,234,2025
453286,P,82,358,2025
455119,P,43,174,2025
471911,P,34,212,2025
472610,P,48,233,2025
476594,P,1,15,2025
489446,P,52,178,2025
500743,P,0,28,2025
500779,P,89,556,2025
518585,P,72,200,2025
518876,P,167,748,2025
518886,P,17,49,2025
519141,P,57,203,2025
519242,P,165,510,2025
527048,P,44,228,2025
542888,P,74,284,2025
543056,P,43,176,2025
543135,P,129,496,2025
543243,P,201,753,2025
544150,P,10,44,2025
547179,P,127,606,2025
547184,P,29,166,2025
547973,P,85,228,2025
548384,P,25,99,2025
552640,P,64,208,2025
554430,P,195,585,2025
571510,P,154,718,2025
571578,P,131,663,2025
571927,P,59,309,2025
571945,P,100,669,2025
571948,P,58,293,2025
572955,P,59,238,2025
573009,P,8,58,2025
573124,P,53,221,2025
573204,P,56,220,2025
579328,P,174,772,2025
592094,P,70,270,2025
592155,P,35,143,2025
592332,P,189,775,2025
592454,P,50,267,2025
592662,P,186,755,2025
592773,P,58,255,2025
592779,P,44,159,2025
592791,P,98,519,2025
592836,P,86,538,2025
592866,P,65,373,2025
593958,P,143,694,2025
593974,P,63,313,2025
594580,P,22,81,2025
594798,P,185,669,2025
595014,P,36,129,2025
595345,P,84,276,2025
595978,P,1,16,2025
596001,P,55,274,2025
596133,P,72,262,2025
596142,P,0,7,2025
601713,P,190,721,2025
605130,P,75,303,2025
605135,P,166,736,2025
605154,P,26,115,2025
605218,P,6,24,2025
605280,P,129,708,2025
605288,P,92,518,2025
605400,P,97,404,2025
605447,P,47,187,2025
605452,P,39,228,2025
605483,P,72,254,2025
605488,P,138,713,2025
605540,P,83,257,2025
606303,P,24,117,2025
606965,P,14,65,2025
606996,P,37,179,2025
607067,P,127,662,2025
607074,P,203,789,2025
607192,P,106,366,2025
607200,P,83,623,2025
607259,P,116,683,2025
607455,P,61,268,2025
607481,P,51,235,2025
607536,P,124,709,2025
607625,P,125,611,2025
608032,P,54,269,2025
608331,P,189,801,2025
608337,P,121,613,2025
608371,P,13,72,2025
608372,P,106,675,2025
608379,P,126,716,2025
608566,P,83,591,2025
608650,P,49,200,2025
608718,P,53,291,2025
615698,P,85,513,2025
620443,P,0,8,2025
621053,P,54,246,2025
621107,P,50,309,2025
621111,P,92,565,2025
621112,P,34,175,2025
621121,P,61,274,2025
621139,P,18,88,2025
621237,P,32,114,2025
621242,P,98,258,2025
621345,P,14,44,2025
621366,P,32,145,2025
621381,P,70,256,2025
621383,P,61,267,2025
622491,P,162,745,2025
622554,P,79,261,2025
622608,P,73,618,2025
622663,P,124,705,2025
622761,P,0,11,2025
623149,P,20,81,2025
623168,P,0,27,2025
623211,P,57,262,2025
623352,P,76,206,2025
623437,P,49,268,2025
623465,P,6,22,2025
623474,P,81,347,2025
624133,P,151,651,2025
624431,P,1,12,2025
624512,P,0,6,2025
625643,P,1,25,2025
628452,P,73,266,2025
640448,P,55,229,2025
640451,P,11,39,2025
640454,P,3,15,2025
640455,P,75,263,2025
