date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at
2026-08-17,824514,687273,Quinn Mathews,St. Louis Cardinals,Cincinnati Reds,0,L,3,24,1,5.0,0,0,24.0,22.42,23.61,0.2109,0.953,confirmed,9,0.2526,1.142,0.2414,5.73,0.8197,0.6807,0.518,0.3586,0.2253,0.1285,4.5,-124,-102,4.5,-111,-115,4.5,-118,-118,,,,"{""dk"":{""1.5"":[-3800,null],""2.5"":[-760,null],""3.5"":[-277,null],""4.5"":[-127,null],""5.5"":[165,null],""6.5"":[334,null],""7.5"":[700,null],""8.5"":[1400,null]},""fd"":{""2.5"":[-850,null],""3.5"":[-295,null],""4.5"":[-111,null],""5.5"":[190,null],""6.5"":[400,null]},""mgm"":{""4.5"":[-118,null],""3.5"":[-275,null],""5.5"":[170,null],""6.5"":[325,null],""2.5"":[-650,null]},""czr"":{""2.5"":[-1250,null],""3.5"":[-310,null],""4.5"":[-124,null],""5.5"":[166,null],""6.5"":[340,null],""7.5"":[700,null]}}",4.5,0.6807,-213,+213,over,fd,4.5,-111,0.1849,2026-08-17T15:32:01Z,2026-08-17T16:00:46Z
2026-08-17,824514,592288,Kent Emanuel,Cincinnati Reds,St. Louis Cardinals,1,L,0,0,0,0.0,0,0,21.9,21.9,21.9,0.2212,1.0,confirmed,9,0.2059,0.931,0.2059,4.48,0.6545,0.4701,0.301,0.1719,0.0879,0.0404,,,,,,,,,,,,,,,,,,,,,,,2026-08-17T15:32:01Z,2026-08-17T16:00:46Z
2026-08-17,822939,687064,Brandon Young,Baltimore Orioles,Tampa Bay Rays,0,R,93,487,20,113.7,47,256,24.8,24.03,24.61,0.1936,0.875,confirmed,9,0.1791,0.81,0.1557,3.85,0.5368,0.3477,0.1993,0.1016,0.0464,0.0191,3.5,-146,115,3.5,-146,114,3.5,-160,110,,,,"{""dk"":{""1.5"":[-1500,null],""2.5"":[-385,null],""3.5"":[-147,null],""4.5"":[155,null],""5.5"":[342,null],""6.5"":[740,null],""7.5"":[1540,null]},""czr"":{""2.5"":[-460,null],""3.5"":[-164,null],""4.5"":[143,null],""5.5"":[300,null],""6.5"":[675,null]},""fd"":{""2.5"":[-440,null],""3.5"":[-146,null],""4.5"":[158,null],""5.5"":[350,null]},""mgm"":{""4.5"":[140,null],""3.5"":[-155,null],""6.5"":[575,null],""2.5"":[-375,null],""5.5"":[300,null]}}",3.5,0.5368,-116,+116,under,mgm,3.5,110,0.027,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z
2026-08-17,823427,676083,Janson Junk,Miami Marlins,Philadelphia Phillies,0,R,64,373,17,87.7,77,447,19.4,22.09,20.07,0.1771,0.801,confirmed,9,0.1881,0.85,0.1493,2.95,0.3472,0.1839,0.0846,0.0342,0.0122,0.0039,2.5,-183,143,3.5,130,-166,3.5,110,-160,,,,"{""dk"":{""1.5"":[-640,null],""2.5"":[-187,null],""3.5"":[143,null],""4.5"":[358,null],""5.5"":[880,null]},""czr"":{""1.5"":[-1000,null],""2.5"":[-230,null],""3.5"":[121,null],""4.5"":[270,null],""5.5"":[625,null]},""fd"":{""2.5"":[-225,null],""3.5"":[130,null],""4.5"":[285,null],""5.5"":[680,null]},""mgm"":{""5.5"":[525,null],""2.5"":[-225,null],""4.5"":[250,null],""6.5"":[950,null],""3.5"":[110,null]}}",3.5,0.3472,+188,-188,under,mgm,3.5,-160,0.089,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z
2026-08-17,823427,650911,Cristopher Sánchez,Philadelphia Phillies,Miami Marlins,1,L,181,646,25,155.7,212,807,24.2,24.95,24.39,0.2741,1.239,confirmed,9,0.2027,0.916,0.2525,6.0,0.8445,0.7175,0.5618,0.4019,0.2617,0.155,6.5,-141,111,6.5,-132,104,6.5,-155,105,,,,"{""dk"":{""3.5"":[-2100,null],""4.5"":[-710,null],""5.5"":[-296,null],""6.5"":[-141,null],""7.5"":[146,null],""8.5"":[291,null],""9.5"":[610,null],""10.5"":[1260,null]},""czr"":{""9.5"":[400,null],""4.5"":[-950,null],""5.5"":[-320,null],""6.5"":[-148,null],""7.5"":[130,null],""8.5"":[225,null]},""fd"":{""3.5"":[-3500,null],""4.5"":[-800,null],""5.5"":[-310,null],""6.5"":[-132,null],""7.5"":[142,null],""8.5"":[285,null],""9.5"":[560,null]},""mgm"":{""6.5"":[-155,null],""4.5"":[-650,null],""8.5"":[230,null],""5.5"":[-295,null],""7.5"":[125,null]}}",6.5,0.4019,+149,-149,under,mgm,6.5,105,0.1529,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z
2026-08-17,823343,664285,Framber Valdez,Detroit Tigers,Pittsburgh Pirates,0,L,106,587,24,133.0,187,802,23.6,24.14,23.74,0.1933,0.874,confirmed,9,0.229,1.035,0.2004,4.76,0.6976,0.5204,0.3486,0.2095,0.1133,0.0553,4.5,-155,121,5.5,118,-150,4.5,-165,115,,,,"{""fd"":{""2.5"":[-2500,null],""3.5"":[-530,null],""4.5"":[-215,null],""5.5"":[118,null],""6.5"":[230,null],""7.5"":[480,null]},""dk"":{""1.5"":[-3600,null],""2.5"":[-860,null],""3.5"":[-330,null],""4.5"":[-151,null],""5.5"":[134,null],""6.5"":[263,null],""7.5"":[532,null],""8.5"":[1080,null]},""czr"":{""3.5"":[-500,null],""4.5"":[-190,null],""5.5"":[115,null],""6.5"":[220,null],""7.5"":[425,null],""8.5"":[900,null]},""mgm"":{""4.5"":[-165,null],""3.5"":[-375,null],""6.5"":[230,null],""5.5"":[120,null],""2.5"":[-1000,null]}}",4.5,0.5204,-109,+109,under,fd,5.5,-150,0.0847,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z
2026-08-17,823343,669387,Carmen Mlodzinski,Pittsburgh Pirates,Detroit Tigers,1,R,78,433,11,99.7,89,419,19.0,20.9,19.48,0.1912,0.865,confirmed,9,0.1992,0.901,0.1715,3.22,0.4073,0.2305,0.1135,0.0491,0.0188,0.0064,2.5,-158,124,2.5,-166,130,2.5,-155,105,,,,"{""fd"":{""2.5"":[-166,null],""3.5"":[142,null],""4.5"":[320,null],""5.5"":[750,null]},""dk"":{""1.5"":[-497,null],""2.5"":[-159,null],""3.5"":[162,null],""4.5"":[394,null],""5.5"":[930,null]},""czr"":{""1.5"":[-675,null],""2.5"":[-173,null],""3.5"":[148,null],""4.5"":[350,null],""5.5"":[850,null]},""mgm"":{""4.5"":[380,null],""2.5"":[-155,null],""5.5"":[775,null],""6.5"":[1350,null],""3.5"":[165,null]}}",2.5,0.6217,-164,+164,over,mgm,2.5,-155,0.0669,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z
2026-08-17,823589,621111,Walker Buehler,San Diego Padres,New York Mets,0,R,100,497,24,114.3,92,565,21.8,20.91,21.58,0.1946,0.88,confirmed,9,0.2237,1.011,0.1969,4.28,0.6204,0.4324,0.2676,0.1474,0.0726,0.0322,3.5,-160,125,3.5,-158,124,4.5,110,-160,,,,"{""fd"":{""2.5"":[-480,null],""3.5"":[-158,null],""4.5"":[146,null],""5.5"":[320,null],""6.5"":[750,null]},""dk"":{""1.5"":[-1560,null],""2.5"":[-407,null],""3.5"":[-158,null],""4.5"":[147,null],""5.5"":[330,null],""6.5"":[740,null],""7.5"":[1520,null]},""czr"":{""2.5"":[-500,null],""3.5"":[-170,null],""4.5"":[135,null],""5.5"":[270,null],""6.5"":[575,null],""7.5"":[1400,null]},""mgm"":{""4.5"":[115,null],""2.5"":[-450,null],""5.5"":[230,null],""3.5"":[-190,null],""6.5"":[425,null]}}",3.5,0.6204,-163,+163,over,fd,3.5,-158,0.042,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z
2026-08-17,824077,686930,Mason Barnett,Athletics,Kansas City Royals,0,R,36,167,3,38.0,18,104,20.67,21.28,20.82,0.2097,0.948,confirmed,7,0.2203,0.996,0.2089,4.33,0.6307,0.4434,0.2769,0.1538,0.0763,0.034,3.5,115,-147,3.5,112,-142,3.5,-105,-140,,,,"{""fd"":{""2.5"":[-265,null],""3.5"":[112,null],""4.5"":[250,null],""5.5"":[560,null]},""dk"":{""1.5"":[-620,null],""2.5"":[-208,null],""3.5"":[114,null],""4.5"":[259,null],""5.5"":[582,null],""6.5"":[1280,null]},""czr"":{""1.5"":[-1450,null],""2.5"":[-260,null],""3.5"":[101,null],""4.5"":[235,null],""5.5"":[550,null],""6.5"":[1300,null]},""mgm"":{""3.5"":[100,null],""2.5"":[-235,null],""6.5"":[850,null],""5.5"":[450,null],""4.5"":[210,null]}}",3.5,0.6307,-171,+171,over,dk,3.5,115,0.192,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z
2026-08-17,823668,527048,Martín Pérez,Atlanta Braves,Minnesota Twins,0,L,80,430,19,106.3,44,228,19.4,21.08,19.82,0.1924,0.87,confirmed,9,0.2066,0.934,0.1792,3.54,0.4765,0.29,0.1544,0.0725,0.0302,0.0113,3.5,-111,-114,3.5,-108,-120,3.5,-120,-120,,,,"{""fd"":{""2.5"":[-320,null],""3.5"":[-108,null],""4.5"":[210,null],""5.5"":[480,null]},""dk"":{""1.5"":[-1020,null],""2.5"":[-291,null],""3.5"":[-110,null],""4.5"":[216,null],""5.5"":[488,null],""6.5"":[1060,null]},""czr"":{""2.5"":[-335,null],""3.5"":[-122,null],""4.5"":[188,null],""5.5"":[400,null],""6.5"":[900,null]},""mgm"":{""2.5"":[-295,null],""6.5"":[650,null],""3.5"":[-120,null],""5.5"":[350,null],""4.5"":[175,null]}}",3.5,0.4765,+110,-110,under,mgm,3.5,-120,0.0235,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z
