date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at,src,lock_lineup_n,lock_lineup_k,lock_f_lineup,lock_pk_pa,lock_exp_k,lock_p_over_3.5,lock_p_over_4.5,lock_p_over_5.5,lock_p_over_6.5,lock_p_over_7.5,lock_p_over_8.5,lock_cons_line,lock_p_over_cons,lock_fair_over,lock_fair_under,lock_best_side,lock_best_book,lock_best_line,lock_best_price,lock_best_edge,lock_odds_at,lock_built_at,started,k_actual,bf_actual,ip_actual,over_cons,best_result,lock_over_cons,lock_best_result,graded_at
2026-08-17,824514,687273,Quinn Mathews,St. Louis Cardinals,Cincinnati Reds,0,L,3,24,1,5.0,0,0,24.0,22.42,23.61,0.2109,0.953,confirmed,9,0.2526,1.142,0.2413,5.73,0.8196,0.6806,0.5178,0.3584,0.2252,0.1284,4.5,-124,-102,4.5,-111,-115,4.5,-118,-118,,,,"{""fd"":{""2.5"":[-850,null],""3.5"":[-295,null],""4.5"":[-111,null],""5.5"":[190,null],""6.5"":[400,null]},""dk"":{""1.5"":[-3800,null],""2.5"":[-760,null],""3.5"":[-277,null],""4.5"":[-127,null],""5.5"":[165,null],""6.5"":[334,null],""7.5"":[700,null],""8.5"":[1400,null]},""czr"":{""2.5"":[-1250,null],""3.5"":[-310,null],""4.5"":[-124,null],""5.5"":[166,null],""6.5"":[340,null],""7.5"":[700,null]},""mgm"":{""4.5"":[-118,null],""3.5"":[-275,null],""5.5"":[170,null],""6.5"":[325,null],""2.5"":[-650,null]}}",4.5,0.6806,-213,+213,over,fd,4.5,-111,0.1847,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2526,1.142,0.2414,5.73,0.8197,0.6807,0.518,0.3586,0.2253,0.1285,4.5,0.6807,-213,+213,over,fd,4.5,-111,0.1849,2026-08-17T15:32:01Z,2026-08-17T16:00:46Z,1,7,17,4.0,1,W,1,W,2026-08-18T00:02:30Z
2026-08-17,824514,592288,Kent Emanuel,Cincinnati Reds,St. Louis Cardinals,1,L,0,0,0,0.0,0,0,21.9,21.9,21.9,0.2212,1.0,confirmed,9,0.2059,0.931,0.2059,4.48,0.6544,0.4699,0.3008,0.1718,0.0878,0.0404,,,,,,,,,,,,,,,,,,,,,,,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2059,0.931,0.2059,4.48,0.6545,0.4701,0.301,0.1719,0.0879,0.0404,,,,,,,,,,2026-08-17T15:32:01Z,2026-08-17T16:00:46Z,1,4,23,5.0,,,,,2026-08-18T00:02:30Z
2026-08-17,824478,669467,Andre Pallante,St. Louis Cardinals,Cincinnati Reds,0,R,92,539,23,130.0,111,715,23.2,23.35,23.24,0.1704,0.771,previous,9,0.2413,1.091,0.1871,4.26,0.6147,0.4264,0.2629,0.1444,0.071,0.0314,,,,,,,,,,,,,,,,,,,,,,,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.245,1.107,0.19,4.32,0.6268,0.4394,0.2741,0.1525,0.0759,0.0341,,,,,,,,,,2026-08-17T15:32:01Z,2026-08-17T21:31:04Z,1,5,25,6.0,,,,,2026-08-18T04:27:09Z
2026-08-17,824478,695076,Rhett Lowder,Cincinnati Reds,St. Louis Cardinals,1,R,77,423,18,94.3,0,0,21.2,21.84,21.36,0.1946,0.88,previous,9,0.2012,0.91,0.1765,3.66,0.5011,0.3127,0.1713,0.0829,0.0357,0.0138,,,,,,,,,,,,,,,,,,,,,,,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.1947,0.88,0.1706,3.54,0.4755,0.2894,0.1543,0.0727,0.0304,0.0114,,,,,,,,,,2026-08-17T15:32:01Z,2026-08-17T21:01:32Z,1,5,29,6.7,,,,,2026-08-18T04:27:09Z
2026-08-17,822939,687064,Brandon Young,Baltimore Orioles,Tampa Bay Rays,0,R,93,487,20,113.7,47,256,24.8,24.03,24.61,0.1936,0.875,previous,9,0.1888,0.854,0.1645,4.07,0.5787,0.3893,0.2325,0.1238,0.0591,0.0255,3.5,-127,100,3.5,-136,106,3.5,-135,100,,,,"{""dk"":{""1.5"":[-1240,null],""2.5"":[-328,null],""3.5"":[-127,null],""4.5"":[180,null],""5.5"":[403,null],""6.5"":[860,null]},""czr"":{""2.5"":[-420,null],""3.5"":[-148,null],""4.5"":[153,null],""5.5"":[330,null],""6.5"":[700,null]},""fd"":{""2.5"":[-410,null],""3.5"":[-136,null],""4.5"":[172,null],""5.5"":[390,null]},""mgm"":{""4.5"":[165,null],""3.5"":[-135,null],""6.5"":[600,null],""2.5"":[-325,null],""5.5"":[325,null]}}",3.5,0.5787,-137,+137,over,dk,3.5,-127,0.0507,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.1791,0.81,0.1557,3.85,0.5368,0.3477,0.1993,0.1016,0.0464,0.0191,3.5,0.5368,-116,+116,under,mgm,3.5,110,0.027,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,3,20,4.0,0,L,0,W,2026-08-18T04:27:09Z
2026-08-17,822939,663556,Shane McClanahan,Tampa Bay Rays,Baltimore Orioles,1,L,91,409,20,99.0,0,0,19.4,20.71,19.73,0.2221,1.004,previous,9,0.2428,1.098,0.2438,4.82,0.7097,0.5351,0.3615,0.2184,0.1181,0.0574,4.5,-123,-104,4.5,-128,100,4.5,-115,-125,,,,"{""dk"":{""1.5"":[-3400,null],""2.5"":[-750,null],""3.5"":[-276,null],""4.5"":[-123,null],""5.5"":[168,null],""6.5"":[349,null],""7.5"":[710,null],""8.5"":[1380,null]},""czr"":{""2.5"":[-2000,null],""3.5"":[-345,null],""4.5"":[-139,null],""5.5"":[155,null],""6.5"":[305,null],""7.5"":[600,null],""8.5"":[1300,null]},""fd"":{""2.5"":[-1100,null],""3.5"":[-330,null],""4.5"":[-128,null],""5.5"":[162,null],""6.5"":[350,null]},""mgm"":{""6.5"":[400,null],""4.5"":[-115,null],""3.5"":[-275,null],""2.5"":[-700,null],""5.5"":[195,null]}}",4.5,0.5351,-115,+115,over,mgm,4.5,-115,0.0446,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2496,1.128,0.2506,4.95,0.729,0.5592,0.3855,0.238,0.1318,0.0656,4.5,0.5592,-127,+127,over,mgm,4.5,-115,0.0687,2026-08-17T15:32:01Z,2026-08-17T21:01:32Z,1,3,14,3.3,0,L,0,L,2026-08-18T04:27:09Z
2026-08-17,823427,676083,Janson Junk,Miami Marlins,Philadelphia Phillies,0,R,64,373,17,87.7,77,447,19.4,22.09,20.07,0.1771,0.801,previous,9,0.1877,0.849,0.149,2.94,0.3459,0.1829,0.084,0.0339,0.0121,0.0039,3.5,127,-163,3.5,130,-166,3.5,105,-155,,,,"{""dk"":{""1.5"":[-770,null],""2.5"":[-212,null],""3.5"":[127,null],""4.5"":[322,null],""5.5"":[770,null],""6.5"":[1740,null]},""czr"":{""1.5"":[-1000,null],""2.5"":[-230,null],""3.5"":[113,null],""4.5"":[270,null],""5.5"":[625,null]},""fd"":{""2.5"":[-230,null],""3.5"":[130,null],""4.5"":[285,null],""5.5"":[680,null]},""mgm"":{""5.5"":[500,null],""2.5"":[-225,null],""4.5"":[250,null],""6.5"":[950,null],""3.5"":[110,null]}}",3.5,0.3459,+189,-189,under,mgm,3.5,-155,0.0993,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.1881,0.85,0.1493,2.95,0.3472,0.1839,0.0846,0.0342,0.0122,0.0039,3.5,0.3472,+188,-188,under,mgm,3.5,-160,0.089,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,2,23,5.0,0,W,0,W,2026-08-18T04:27:09Z
2026-08-17,823427,650911,Cristopher Sánchez,Philadelphia Phillies,Miami Marlins,1,L,181,646,25,155.7,212,807,24.2,24.95,24.39,0.2741,1.239,previous,9,0.1963,0.888,0.2451,5.82,0.8285,0.6935,0.533,0.3732,0.2374,0.1372,6.5,-145,114,6.5,-142,112,6.5,-140,105,,,,"{""dk"":{""3.5"":[-2200,null],""4.5"":[-720,null],""5.5"":[-304,null],""6.5"":[-146,null],""7.5"":[137,null],""8.5"":[269,null],""9.5"":[539,null],""10.5"":[1100,null]},""czr"":{""9.5"":[380,null],""4.5"":[-950,null],""5.5"":[-345,null],""6.5"":[-164,null],""7.5"":[120,null],""8.5"":[210,null]},""fd"":{""3.5"":[-4000,null],""4.5"":[-900,null],""5.5"":[-340,null],""6.5"":[-142,null],""7.5"":[136,null],""8.5"":[280,null],""9.5"":[540,null]},""mgm"":{""6.5"":[-140,null],""4.5"":[-600,null],""8.5"":[230,null],""5.5"":[-275,null],""7.5"":[130,null]}}",6.5,0.3732,+168,-168,under,dk,6.5,114,0.1856,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2027,0.916,0.2525,6.0,0.8445,0.7175,0.5618,0.4019,0.2617,0.155,6.5,0.4019,+149,-149,under,mgm,6.5,105,0.1529,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,6,27,6.0,0,W,0,W,2026-08-18T04:27:09Z
2026-08-17,823343,664285,Framber Valdez,Detroit Tigers,Pittsburgh Pirates,0,L,106,587,24,133.0,187,802,23.6,24.14,23.74,0.1933,0.874,previous,9,0.2428,1.098,0.213,5.06,0.7407,0.5735,0.4012,0.2528,0.1436,0.0738,5.5,116,-148,5.5,118,-150,4.5,-165,115,,,,"{""fd"":{""2.5"":[-2000,null],""3.5"":[-520,null],""4.5"":[-215,null],""5.5"":[118,null],""6.5"":[235,null],""7.5"":[480,null]},""dk"":{""2.5"":[-1020,null],""3.5"":[-374,null],""4.5"":[-173,null],""5.5"":[118,null],""6.5"":[230,null],""7.5"":[459,null],""8.5"":[930,null],""9.5"":[1760,null]},""czr"":{""3.5"":[-500,null],""4.5"":[-197,null],""5.5"":[115,null],""6.5"":[220,null],""7.5"":[425,null],""8.5"":[850,null]},""mgm"":{""4.5"":[-160,null],""3.5"":[-350,null],""6.5"":[250,null],""5.5"":[125,null],""2.5"":[-1000,null]}}",5.5,0.4012,+149,-149,under,dk,5.5,-148,0.0357,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.229,1.035,0.2004,4.76,0.6976,0.5204,0.3486,0.2095,0.1133,0.0553,4.5,0.5204,-109,+109,under,fd,5.5,-150,0.0847,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,5,26,5.7,0,W,1,W,2026-08-18T04:27:09Z
2026-08-17,823343,669387,Carmen Mlodzinski,Pittsburgh Pirates,Detroit Tigers,1,R,78,433,11,99.7,89,419,19.0,20.9,19.48,0.1912,0.865,previous,9,0.2046,0.925,0.1764,3.31,0.4274,0.2471,0.1245,0.0551,0.0216,0.0076,2.5,-162,127,2.5,-166,130,2.5,-175,120,,,,"{""fd"":{""2.5"":[-166,null],""3.5"":[142,null],""4.5"":[330,null],""5.5"":[750,null]},""dk"":{""1.5"":[-504,null],""2.5"":[-160,null],""3.5"":[161,null],""4.5"":[389,null],""5.5"":[920,null]},""czr"":{""1.5"":[-675,null],""2.5"":[-173,null],""3.5"":[148,null],""4.5"":[350,null],""5.5"":[850,null]},""mgm"":{""4.5"":[340,null],""2.5"":[-165,null],""5.5"":[700,null],""6.5"":[1250,null],""3.5"":[150,null]}}",2.5,0.6399,-178,+178,over,mgm,2.5,-175,0.0566,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.1992,0.901,0.1715,3.22,0.4073,0.2305,0.1135,0.0491,0.0188,0.0064,2.5,0.6217,-164,+164,over,mgm,2.5,-155,0.0669,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,3,18,3.0,1,W,1,W,2026-08-18T04:27:09Z
