Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Home SP,Flag
2026-04-17,New York Mets,Chicago Cubs,46.9,53.1,119,-143,110,-135,+1.2%,-0.7%,-5.7%,-4.3%,Kodai Senga,Edward Cabrera,
2026-04-17,Baltimore Orioles,Cleveland Guardians,47.7,52.3,119,-143,118,-145,+2.0%,+1.8%,-6.5%,-6.9%,Chris Bassitt,Tanner Bibee,
2026-04-17,Atlanta Braves,Philadelphia Phillies,49.8,50.2,-110,-110,-110,-110,-2.6%,-2.6%,-2.2%,-2.2%,Martín Pérez,Taijuan Walker,
2026-04-17,San Francisco Giants,Washington Nationals,48.1,51.9,-163,135,-160,135,-13.9%,-13.4%,+9.3% ** BET **,+9.3% ** BET **,Logan Webb,Zack Littell,** BET **
2026-04-17,Tampa Bay Rays,Pittsburgh Pirates,None,58.1,123,-149,118,-145,N/A,N/A,-1.7%,-1.1%,Nick Martinez,Bubba Chandler,
2026-04-17,Kansas City Royals,New York Yankees,46.1,53.9,149,-181,145,-175,+5.9% ** BET **,+5.3% ** BET **,-10.5%,-9.7%,Michael Wacha,Cam Schlittler,** BET **
2026-04-17,Milwaukee Brewers,Miami Marlins,None,58.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,Janson Junk,
2026-04-17,Detroit Tigers,Boston Red Sox,56.8,None,109,-131,110,-135,+9.0% ** BET **,+9.2% ** BET **,N/A,N/A,Casey Mize,Ranger Suarez,** BET **
2026-04-17,St. Louis Cardinals,Houston Astros,49.8,None,N/A,120,N/A,110,N/A,N/A,N/A,N/A,Kyle Leahy,TBD,
2026-04-17,Cincinnati Reds,Minnesota Twins,48.0,52.0,144,-175,150,-185,+7.0% ** BET **,+8.0% ** BET **,-11.6%,-12.9%,Brandon Williamson,Joe Ryan,** BET **
2026-04-17,Los Angeles Dodgers,Colorado Rockies,51.7,48.3,N/A,-157,N/A,-140,N/A,N/A,-12.8%,-10.0%,Tyler Glasnow,Tomoyuki Sugano,
2026-04-17,San Diego Padres,Los Angeles Angels,None,58.3,-5500,N/A,-5000,N/A,N/A,N/A,N/A,N/A,Matt Waldron,José Soriano,
2026-04-17,Texas Rangers,Seattle Mariners,49.7,50.3,113,-136,115,-140,+2.8%,+3.2%,-7.3%,-8.0%,Jacob deGrom,Logan Gilbert,
2026-04-17,Toronto Blue Jays,Arizona Diamondbacks,47.8,52.2,113,-136,118,-145,+0.9%,+1.9%,-5.4%,-7.0%,Eric Lauer,Michael Soroka,
2026-04-17,Chicago White Sox,Athletics,47.8,52.2,123,-149,135,-165,+3.0%,+5.2% ** BET **,-7.6%,-10.1%,Davis Martin,Aaron Civale,** BET **
