Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Home SP,Away Lineup OPS,Home Lineup OPS,Flag
2026-04-19,Detroit Tigers,Boston Red Sox,56.8,43.2,-149,123,-145,120,-3.0%,-2.4%,-1.6%,-2.3%,Framber Valdez,Garrett Crochet,0.693,0.664,
2026-04-19,San Francisco Giants,Washington Nationals,65.0,35.0,-115,-105,-110,-110,+11.5% ** BET **,+12.6% ** BET **,-16.2%,-17.4%,Robbie Ray,Miles Mikolas,0.659,0.749,** BET **
2026-04-19,Tampa Bay Rays,Pittsburgh Pirates,49.0,51.0,133,-161,125,-150,+6.1%,+4.6%,-10.7%,-9.0%,Shane McClanahan,Mitch Keller,0.719,0.745,
2026-04-19,Kansas City Royals,New York Yankees,45.8,54.2,139,-169,135,-160,+4.0%,+3.2%,-8.6%,-7.3%,Cole Ragans,Ryan Weathers,0.642,0.696,
2026-04-19,Baltimore Orioles,Cleveland Guardians,44.0,56.0,113,-136,115,-140,-2.9%,-2.5%,-1.6%,-2.3%,Trevor Rogers,Joey Cantillo,0.709,0.697,
2026-04-19,Milwaukee Brewers,Miami Marlins,63.4,36.6,-105,-115,-105,-115,+12.2% ** BET **,+12.2% ** BET **,-16.9%,-16.9%,Jacob Misiorowski,Eury Pérez,0.716,0.733,** BET **
2026-04-19,St. Louis Cardinals,Houston Astros,42.1,57.9,119,-143,118,-145,-3.6%,-3.8%,-0.9%,-1.3%,Matthew Liberatore,Mike Burrows,0.706,0.787,
2026-04-19,Cincinnati Reds,Minnesota Twins,35.0,65.0,109,-131,110,-135,-12.8%,-12.6%,+8.3% ** BET **,+7.6%,Brady Singer,Bailey Ober,0.62,0.72,** BET **
2026-04-19,New York Mets,Chicago Cubs,37.1,62.9,-102,-118,-102,-118,-13.4%,-13.4%,+8.8% ** BET **,+8.8% ** BET **,David Peterson,Javier Assad,0.632,0.748,** BET **
2026-04-19,Los Angeles Dodgers,Colorado Rockies,65.0,35.0,-308,244,-295,230,-10.5%,-9.7%,+5.9%,+4.7%,Roki Sasaki,Michael Lorenzen,0.863,0.674,
2026-04-19,Chicago White Sox,Athletics,None,None,139,-168,140,-170,N/A,N/A,N/A,N/A,Noah Schultz,Jeffrey Springs,0.625,0.663,
2026-04-19,San Diego Padres,Los Angeles Angels,None,None,-115,-105,-115,-105,N/A,N/A,N/A,N/A,Michael King,Reid Detmers,0.689,0.752,
2026-04-19,Texas Rangers,Seattle Mariners,52.4,47.6,113,-136,110,-135,+5.5%,+4.8%,-10.0%,-9.8%,MacKenzie Gore,Bryan Woo,0.714,0.646,
2026-04-19,Toronto Blue Jays,Arizona Diamondbacks,54.8,45.2,129,-156,125,-150,+11.1% ** BET **,+10.4% ** BET **,-15.7%,-14.8%,Kevin Gausman,Ryne Nelson,0.68,0.691,** BET **
2026-04-19,Atlanta Braves,Philadelphia Phillies,None,None,104,-126,105,-125,N/A,N/A,N/A,N/A,Grant Holmes,Andrew Painter,0.803,0.682,
