Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Lineup Source,Park Factor,Flag
2026-04-21,Houston Astros,Cleveland Guardians,None,None,119,-143,120,-145,N/A,N/A,N/A,N/A,Ryan Weiss,R,0,Parker Messick,L,15.1,0.703,0.715,CONFIRMED+PLATOON,98,
2026-04-21,Cincinnati Reds,Tampa Bay Rays,45.9,54.1,119,-143,120,-145,+0.2%,+0.4%,-4.7%,-5.1%,Chase Burns,R,14.0,Steven Matz,L,12.1,0.708,0.768,CONFIRMED+PLATOON,98,
2026-04-21,St. Louis Cardinals,Miami Marlins,55.7,44.3,113,-136,110,-130,+8.8% ** BET **,+8.1% ** BET **,-13.3%,-12.2%,Dustin May,R,12.1,Chris Paddack,R,12.0,0.731,0.682,CONFIRMED+PLATOON,96,** BET **
2026-04-21,Milwaukee Brewers,Detroit Tigers,51.1,48.9,113,-136,115,-140,+4.2%,+4.6%,-8.7%,-9.4%,Kyle Harrison,L,8.6,Keider Montero,R,11.0,0.738,0.73,CONFIRMED+PLATOON,100,
2026-04-21,Atlanta Braves,Washington Nationals,44.3,55.7,-149,123,-150,125,-15.5%,-15.7%,+10.9% ** BET **,+11.3% ** BET **,Reynaldo López,R,10.6,Foster Griffin,L,13.1,0.727,0.797,CONFIRMED+PLATOON,99,** BET **
2026-04-21,New York Yankees,Boston Red Sox,35.9,64.1,-143,119,-140,115,-22.9%,-22.4%,+18.4% ** BET **,+17.6% ** BET **,Luis Gil,R,7.5,Connelly Early,L,12.5,0.713,0.78,CONFIRMED+PLATOON,104,** BET **
2026-04-21,Minnesota Twins,New York Mets,None,None,135,-163,135,-160,N/A,N/A,N/A,N/A,Simeon Woods Richardson,R,0,Nolan McLean,R,15.0,0.66,0.745,CONFIRMED+PLATOON,97,
2026-04-21,Baltimore Orioles,Kansas City Royals,41.5,58.5,113,-136,110,-130,-5.4%,-6.1%,+0.9%,+2.0%,Shane Baz,R,14.1,Kris Bubic,L,14.1,0.72,0.768,CONFIRMED+PLATOON,99,
2026-04-21,Philadelphia Phillies,Chicago Cubs,45.2,54.8,144,-175,145,-175,+4.2%,+4.4%,-8.8%,-8.8%,Jesús Luzardo,L,13.6,Shota Imanaga,L,14.5,0.784,0.75,CONFIRMED+PLATOON,104,
2026-04-21,Pittsburgh Pirates,Texas Rangers,63.1,36.9,-110,-110,-110,-110,+10.7% ** BET **,+10.7% ** BET **,-15.5%,-15.5%,Carmen Mlodzinski,R,12.1,Kumar Rocker,R,10.1,0.767,0.686,CONFIRMED+PLATOON,103,** BET **
2026-04-21,San Diego Padres,Colorado Rockies,41.4,58.6,-163,135,-155,130,-20.6%,-19.4%,+16.0% ** BET **,+15.1% ** BET **,Randy Vásquez,R,14.1,Jimmy Herget,R,6.0,0.719,0.726,CONFIRMED+PLATOON,118,** BET **
2026-04-21,Toronto Blue Jays,Los Angeles Angels,61.2,38.8,135,-163,130,-155,+18.6% ** BET **,+17.7% ** BET **,-23.2%,-22.0%,Patrick Corbin,L,7.1,Jack Kochanowicz,R,14.5,0.742,0.704,CONFIRMED+PLATOON,97,** BET **
2026-04-21,Athletics,Seattle Mariners,40.3,59.7,153,-186,155,-190,+0.8%,+1.1%,-5.3%,-5.8%,Jacob Lopez,L,11.6,Luis Castillo,R,0,0.716,0.789,CONFIRMED+PLATOON,96,
2026-04-21,Chicago White Sox,Arizona Diamondbacks,48.7,51.3,129,-156,130,-155,+5.0%,+5.2%,-9.6%,-9.5%,Sean Burke,R,13.1,Merrill Kelly,R,4.6,0.724,0.696,CONFIRMED+PLATOON,97,
2026-04-21,Los Angeles Dodgers,San Francisco Giants,42.6,57.4,-207,169,-200,165,-24.8%,-24.1%,+20.2% ** BET **,+19.7% ** BET **,Yoshinobu Yamamoto,R,16.1,Landen Roupp,R,13.6,0.715,0.815,CONFIRMED+PLATOON,95,** BET **
