Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Lineup Source,Park Factor,Flag
2026-04-22,Toronto Blue Jays,Los Angeles Angels,51.2,48.8,124,-150,125,-135,+6.6% ** BET **,+6.8% ** BET **,-11.2%,-8.6%,Eric Lauer,L,8.6,José Soriano,R,16.1,0.742,0.693,3.2,3.47,CONFIRMED+PLATOON,97,** BET **
2026-04-22,Athletics,Seattle Mariners,35,65,157,-192,145,-180,-3.9%,-5.8%,-0.8%,+0.7%,Aaron Civale,R,10.1,Logan Gilbert,R,14.5,0.721,0.776,5.68,4.38,CONFIRMED+PLATOON,96,
2026-04-22,Milwaukee Brewers,Detroit Tigers,49.3,50.7,113,-136,115,-135,+2.4%,+2.8%,-6.9%,-6.7%,DL Hall,L,4.6,Casey Mize,R,11.1,0.718,0.705,2.5,4.19,ESTIMATED,100,
2026-04-22,Atlanta Braves,Washington Nationals,38.1,61.9,-156,129,-150,125,-22.8%,-21.9%,+18.2%,+17.5%,Didier Fuentes,R,2.0,Zack Littell,R,9.5,0.788,0.738,3.4,4.64,ESTIMATED,99,
2026-04-22,New York Yankees,Boston Red Sox,None,None,-136,113,-135,115,N/A,N/A,N/A,N/A,Max Fried,L,16.6,Ranger Suarez,R,0,0.737,0.652,3.33,4.09,ESTIMATED,104,
2026-04-22,Minnesota Twins,New York Mets,None,None,129,-156,135,-160,N/A,N/A,N/A,N/A,Connor Prielipp,R,0,Clay Holmes,R,11.5,0.707,0.617,3.91,6.12,ESTIMATED,97,
2026-04-22,Philadelphia Phillies,Chicago Cubs,None,None,149,-181,145,-175,N/A,N/A,N/A,N/A,Kyle Backhus,L,3.1,Matthew Boyd,R,0,0.658,0.754,6.06,1.96,ESTIMATED,104,
2026-04-22,Pittsburgh Pirates,Texas Rangers,61.7,38.3,-112,-108,-118,-102,+8.9% ** BET **,+7.6% ** BET **,-13.6%,-12.2%,Braxton Ashcraft,R,11.1,Jack Leiter,R,10.1,0.73,0.71,2.95,4.06,ESTIMATED,103,** BET **
2026-04-22,San Diego Padres,Colorado Rockies,50.9,49.1,-156,129,-160,135,-10.0%,-10.6%,+5.4%,+6.5%,Walker Buehler,R,8.6,Tomoyuki Sugano,R,10.1,0.671,0.684,3.06,4.5,ESTIMATED,118,
2026-04-22,Chicago White Sox,Arizona Diamondbacks,None,None,129,-156,130,-155,N/A,N/A,N/A,N/A,Anthony Kay,L,8.6,Eduardo Rodriguez,R,0,0.688,0.698,4.85,6.07,ESTIMATED,97,
2026-04-22,Los Angeles Dodgers,San Francisco Giants,62.7,37.3,-207,169,-210,170,-4.7%,-5.0%,+0.1%,+0.3%,Shohei Ohtani,R,9.0,Tyler Mahle,R,9.1,0.856,0.655,3.88,3.44,ESTIMATED,95,
