Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Home SP,Home Hand,Home Reliability%,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag
2026-04-29,Tampa Bay Rays,Cleveland Guardians,51.6,48.4,100,-120,-105,-115,+1.6%,+0.4%,-6.1%,-5.1%,Drew Rasmussen,R,12.6,Gavin Williams,R,17.6,0.67,0.72,1.33,3.12,4.3,-4.3,CONFIRMED ✓,CONFIRMED+PLATOON,98,
2026-04-29,Los Angeles Angels,Chicago White Sox,38.1,61.9,-124,103,-120,100,-17.3%,-16.4%,+12.6%,+11.9%,Yusei Kikuchi,L,14.5,Erick Fedde,R,13.1,0.719,0.753,7.46,3.8,0.8,-0.7,FADE ✗,CONFIRMED+PLATOON,99,
2026-04-29,Seattle Mariners,Minnesota Twins,55.2,44.8,-136,113,-130,110,-2.4%,-1.3%,-2.1%,-2.8%,George Kirby,R,19.6,Taj Bradley,R,17.0,0.746,0.703,4.92,5.74,-1.2,1.3,FADE ✗,CONFIRMED+PLATOON,100,
2026-04-29,New York Yankees,Texas Rangers,None,None,-113,-107,-115,-105,N/A,N/A,N/A,N/A,Elmer Rodríguez,R,0,Nathan Eovaldi,R,16.1,0.75,0.76,2.61,4.0,-11.4,11.5,N/A,CONFIRMED+PLATOON,103,
2026-04-29,Boston Red Sox,Toronto Blue Jays,42.2,57.8,104,-126,105,-125,-6.8%,-6.6%,+2.0%,+2.2%,Brayan Bello,R,11.0,Eric Lauer,L,11.1,0.66,0.684,3.54,4.25,3.4,-3.1,FADE ✗,ESTIMATED,100,
2026-04-29,Miami Marlins,Los Angeles Dodgers,None,None,189,-232,180,-220,N/A,N/A,N/A,N/A,Sandy Alcantara,R,0,Tyler Glasnow,R,16.5,0.712,0.807,3.83,2.47,5.9,-6.0,N/A,ESTIMATED,96,
2026-04-29,Chicago Cubs,San Diego Padres,63.9,36.1,-115,-105,-110,-110,+10.4%,+11.5%,-15.1%,-16.3%,Jameson Taillon,R,13.6,Matt Waldron,R,4.1,0.777,0.698,5.9,8.13,0.0,0.0,FADE ✗,ESTIMATED,94,
2026-04-29,Houston Astros,Baltimore Orioles,45.6,54.4,104,-126,105,-125,-3.4%,-3.2%,-1.4%,-1.2%,Peter Lambert,R,5.5,Chris Bassitt,R,10.6,0.784,0.722,5.52,6.0,3.4,-3.1,FADE ✗,ESTIMATED,102,
2026-04-29,Colorado Rockies,Cincinnati Reds,49.9,50.1,129,-156,125,-150,+6.2% ** BET **,+5.5% ** BET **,-10.8%,-9.9%,Tomoyuki Sugano,R,13.1,Brandon Williamson,L,12.5,0.709,0.693,3.91,4.91,6.5,-6.5,FADE ✗,ESTIMATED,106,** BET **
2026-04-29,St. Louis Cardinals,Pittsburgh Pirates,49.8,50.2,104,-126,105,-125,+0.8%,+1.0%,-5.6%,-5.4%,Andre Pallante,R,12.6,Bubba Chandler,R,12.0,0.722,0.704,4.92,4.65,1.2,-1.0,FADE ✗,ESTIMATED,98,
2026-04-29,San Francisco Giants,Philadelphia Phillies,41.3,58.7,119,-143,115,-140,-4.4%,-5.2%,-0.1%,+0.4%,Logan Webb,R,18.5,Cristopher Sánchez,L,16.6,0.654,0.662,3.91,4.82,4.2,-4.3,FADE ✗,ESTIMATED,105,
2026-04-29,Washington Nationals,New York Mets,51.7,48.3,135,-163,140,-165,+9.1% ** BET **,+10.0% ** BET **,-13.7%,-14.0%,Cade Cavalli,R,12.1,David Peterson,L,13.1,0.708,0.627,3.83,3.0,3.0,-3.1,CONFIRMED ✓,ESTIMATED,97,** BET **
2026-04-29,Detroit Tigers,Atlanta Braves,None,None,-149,123,-150,125,N/A,N/A,N/A,N/A,Tarik Skubal,L,18.1,JR Ritchie,R,0,0.746,0.795,5.23,3.27,10.3,-10.1,N/A,ESTIMATED,102,
2026-04-29,Arizona Diamondbacks,Milwaukee Brewers,None,None,109,-131,105,-125,N/A,N/A,N/A,N/A,Eduardo Rodriguez,R,0,Brandon Sproat,R,11.1,0.725,0.691,7.16,3.38,-4.5,4.3,N/A,ESTIMATED,100,
2026-04-29,Kansas City Royals,Athletics,47.6,52.4,100,-120,-105,-115,-2.4%,-3.6%,-2.1%,-1.1%,Michael Wacha,R,16.1,Luis Severino,R,15.6,0.711,0.704,4.02,2.82,-4.1,4.1,CONFIRMED ✓,ESTIMATED,95,
