Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning
2026-07-17,Tampa Bay Rays,Boston Red Sox,28.6,71.4,101,-121,105,-125,-21.2%,-20.2%,+16.6%,+15.8%,Mason Englert,R,15.3,86.2,2279.0,11.1,Eduardo Rivera,L,3.5,92.3,2120.0,10.5,0.665,0.711,5.14,0.97,-0.5,0.6,N/A,CONFIRMED+PLATOON,104,,
2026-07-17,Tampa Bay Rays,Boston Red Sox,28.6,71.4,-101,-120,110,-135,-21.6%,-19.0%,+16.9%,+14.0%,Mason Englert,R,15.3,86.2,2279.0,11.1,Eduardo Rivera,L,3.5,92.3,2120.0,10.5,0.665,0.711,5.14,0.97,-1.9,1.9,CONFIRMED ✓,CONFIRMED+PLATOON,104,,
2026-07-17,Los Angeles Dodgers,New York Yankees,46.0,54.0,-112,-108,-115,-105,-6.8%,-7.5%,+2.1%,+2.8%,Roki Sasaki,R,40.5,92.1,1704.0,11.8,Gerrit Cole,R,24.5,91.9,2376.0,7.8,0.801,0.729,6.0,2.33,-0.2,0.0,N/A,CONFIRMED+PLATOON,101,,
2026-07-17,Texas Rangers,Atlanta Braves,39.1,60.9,-105,-115,170,-210,-12.1%,+2.1%,+7.4% ** BET **,-6.8%,Cal Quantrill,R,23.2,90.2,1989.0,7.3,Chris Sale,L,49.0,88.5,2316.0,12.8,0.795,0.79,5.67,3.24,0.1,-0.1,N/A,CONFIRMED+PLATOON,102,** BET **,
2026-07-17,Chicago White Sox,Toronto Blue Jays,39.8,60.2,-117,-103,-118,-102,-14.1%,-14.3%,+9.5%,+9.7%,Anthony Kay,L,44.7,90.0,2278.0,9.1,Spencer Miles,R,30.0,90.5,2454.0,7.8,0.807,0.744,0.67,5.76,0.0,0.0,N/A,CONFIRMED+PLATOON,100,,
2026-07-17,Miami Marlins,Milwaukee Brewers,None,None,112,-135,125,-150,N/A,N/A,N/A,N/A,Sandy Alcantara,R,0,None,None,None,Logan Henderson,R,14.2,87.8,2432.0,13.0,0.778,0.782,3.67,8.63,-1.2,1.1,N/A,CONFIRMED+PLATOON,100,,
2026-07-17,Minnesota Twins,Chicago Cubs,49.8,50.2,124,-150,125,-155,+5.2% ** BET **,+5.4% ** BET **,-9.8%,-10.6%,Bailey Ober,R,35.8,83.9,2157.0,9.6,Colin Rea,R,47.3,89.6,2057.0,8.2,0.736,0.743,3.0,3.81,-2.1,2.2,CONFIRMED ✓,CONFIRMED+PLATOON,104,** BET **,
2026-07-17,Baltimore Orioles,Houston Astros,43.2,56.8,-108,-112,-102,-118,-8.7%,-7.3%,+4.0% ** BET **,+2.7%,Dean Kremer,R,11.0,86.3,1983.0,13.0,Peter Lambert,R,43.0,89.5,2229.0,10.2,0.724,0.775,2.0,5.76,-0.7,0.9,N/A,CONFIRMED+PLATOON,99,** BET **,
2026-07-17,San Diego Padres,Kansas City Royals,None,None,-126,104,-125,105,N/A,N/A,N/A,N/A,Michael King,R,0,None,None,None,Seth Lugo,R,52.3,85.7,2508.0,7.3,0.708,0.717,5.33,7.13,2.9,-2.7,N/A,CONFIRMED+PLATOON,99,,
2026-07-17,Cincinnati Reds,Colorado Rockies,None,None,-108,-112,-105,-115,N/A,N/A,N/A,N/A,Brady Singer,R,44.8,87.2,2381.0,9.5,Gabriel Hughes,R,0,None,None,None,0.656,0.804,4.33,3.6,0.7,-0.4,N/A,CONFIRMED+PLATOON,118,,
2026-07-17,Detroit Tigers,Los Angeles Angels,63.7,36.3,-192,157,-115,-105,-2.1%,+10.2%,-2.6%,-14.9%,Troy Melton,R,24.7,91.6,2192.0,10.6,Reid Detmers,L,54.3,88.1,2228.0,10.7,0.712,0.705,3.33,4.32,0.4,-0.7,N/A,PARTIAL,97,,
2026-07-17,Washington Nationals,Athletics,46.0,54.0,108,-130,-140,115,-2.1%,-12.3%,-2.5%,+7.5%,Cade Cavalli,R,49.3,91.6,2214.0,9.9,Gage Jump,L,24.3,91.1,2316.0,10.7,0.759,0.753,4.67,8.25,5.7,-5.7,FADE ✗,PARTIAL,95,,
2026-07-17,St. Louis Cardinals,Arizona Diamondbacks,57.7,42.3,100,-120,-105,-115,+7.7% ** BET **,+6.5% ** BET **,-12.2%,-11.2%,Michael McGreevy,R,50.8,87.0,2199.0,7.8,Merrill Kelly,R,46.8,89.4,2315.0,9.4,0.717,0.691,1.67,2.67,N/A,N/A,N/A,PARTIAL,97,** BET **,
2026-07-17,San Francisco Giants,Seattle Mariners,48.4,51.6,112,-135,155,-190,+1.2%,+9.2%,-5.8%,-13.9%,Landen Roupp,R,48.5,87.2,2338.0,9.7,Bryce Miller,R,28.8,90.8,2169.0,13.5,0.772,0.725,2.33,5.04,-4.3,4.2,CONFIRMED ✓,CONFIRMED+PLATOON,96,,
2026-07-17,Pittsburgh Pirates,Cleveland Guardians,49.9,50.1,-120,100,105,-125,-4.6%,+1.1%,+0.1%,-5.5%,Jared Jones,R,17.5,93.8,2498.0,13.0,Gavin Williams,R,56.7,90.6,2266.0,12.6,0.782,0.716,4.33,1.67,1.2,-1.0,N/A,CONFIRMED+PLATOON,98,,
