Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet
2026-07-31,New York Yankees,Chicago Cubs,36.9,63.1,130,-157,135,-160,-6.6%,-5.7%,+2.0%,+1.6%,Will Warren,R,51.0,90.3,2509.0,8.7,Shota Imanaga,L,60.5,86.6,2036.0,12.9,0.725,0.755,2.32,2.52,-0.2,0.2,N/A,ESTIMATED,104,,,-4.7%,+4.7%,-4.0%,+4.0%,Chicago Cubs
2026-07-31,Pittsburgh Pirates,Cincinnati Reds,59.0,41.0,-131,109,-135,110,+2.3%,+1.6%,-6.8%,-6.6%,Paul Skenes,R,60.3,92.5,2102.0,13.0,Hunter Greene,R,10.8,94.2,2273.0,12.9,0.755,0.704,4.26,2.29,3.4,-3.4,CONFIRMED âœ“,ESTIMATED,106,,,+4.7%,-4.7%,+4.3%,-4.3%,Pittsburgh Pirates
2026-07-31,Philadelphia Phillies,Baltimore Orioles,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TBD,R,0,None,None,None,Brandon Young,R,48.8,88.6,2051.0,9.3,0.703,0.715,4.38,4.42,N/A,N/A,N/A,ESTIMATED,102,,,N/A,N/A,N/A,N/A,
2026-07-31,St. Louis Cardinals,Toronto Blue Jays,44.5,55.5,144,-175,145,-175,+3.5% ** BET **,+3.7% ** BET **,-8.1%,-8.1%,Kyle Leahy,R,50.7,89.5,2184.0,8.0,Dylan Cease,R,56.7,91.2,2485.0,13.6,0.692,0.684,4.68,3.6,0.0,0.0,N/A,ESTIMATED,100,** BET **,,+5.3%,-5.3%,+5.4%,-5.4%,St. Louis Cardinals
2026-07-31,Arizona Diamondbacks,Cleveland Guardians,36.4,63.6,113,-136,115,-140,-10.5%,-10.1%,+6.0% ** BET **,+5.3% ** BET **,Mitch Bratt,L,7.8,86.7,2297.0,6.2,Tanner Bibee,R,62.5,87.8,2294.0,9.7,0.706,0.679,4.06,3.63,0.0,0.0,N/A,ESTIMATED,98,** BET **,,-8.5%,+8.5%,-8.0%,+8.0%,Cleveland Guardians
2026-07-31,Chicago White Sox,Tampa Bay Rays,None,None,123,-149,125,-150,N/A,N/A,N/A,N/A,Erick Fedde,R,48.7,88.2,2222.0,7.2,Nick Martinez,R,0,None,None,None,0.724,0.733,4.1,1.6,0.0,0.0,N/A,ESTIMATED,98,,,N/A,N/A,N/A,N/A,
2026-07-31,Miami Marlins,New York Mets,50.0,50.0,109,-131,110,-135,+2.2%,+2.4%,-6.7%,-7.4%,Janson Junk,R,36.8,88.4,2191.0,6.2,Freddy Peralta,R,56.8,89.2,2304.0,10.7,0.733,0.687,4.5,2.29,-1.2,1.0,N/A,ESTIMATED,97,,,+4.3%,-4.3%,+4.7%,-4.7%,Miami Marlins
2026-07-31,Washington Nationals,Atlanta Braves,60.1,39.9,105,-126,105,-130,+11.3%,+11.3%,-15.9%,-16.6%,Foster Griffin,L,62.0,85.7,2165.0,10.1,Bryce Elder,R,56.8,88.7,2167.0,8.6,0.775,0.728,4.35,4.21,4.1,-4.2,CONFIRMED âœ“,ESTIMATED,102,,,+13.4%,-13.4%,+13.8%,-13.8%,
2026-07-31,Texas Rangers,Houston Astros,43.8,56.2,105,-126,105,-130,-5.0%,-5.0%,+0.4%,-0.3%,Nathan Eovaldi,R,61.2,87.3,1888.0,14.6,Hunter Brown,R,23.5,91.8,2185.0,10.7,0.722,0.728,3.1,4.42,0.0,0.0,N/A,ESTIMATED,99,,,-2.9%,+2.9%,-2.5%,+2.5%,
2026-07-31,Kansas City Royals,Colorado Rockies,52.3,47.7,-110,-110,-110,-110,-0.1%,-0.1%,-4.7%,-4.7%,Michael Wacha,R,66.2,87.0,1993.0,7.9,Tomoyuki Sugano,R,48.0,88.3,2293.0,7.1,0.71,0.739,2.83,6.31,0.0,0.0,N/A,ESTIMATED,118,,,+2.3%,-2.3%,+2.3%,-2.3%,
