Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds
2026-08-08,Atlanta Braves,New York Yankees,53.4,46.6,-141,131,-150,125,-5.1%,-6.6%,+3.3% ** BET **,+2.2%,Chris Sale,L,58.5,88.7,2333.0,13.5,Gerrit Cole,R,36.8,92.0,2365.0,9.7,0.776,0.794,2.14,4.0,12.8,-12.9,CONFIRMED ✓,CONFIRMED+PLATOON,101,** BET **,DK vig 101.8%,-4.1%,+4.1%,-4.1%,+4.1%,New York Yankees,-145,135
2026-08-08,Athletics,Boston Red Sox,30.2,69.8,230,-250,220,-275,-0.1%,-1.0%,-1.6%,-3.5%,Gage Jump,L,33.3,91.0,2317.0,10.5,Jake Bennett,L,35.7,88.6,2082.0,11.0,0.671,0.754,7.92,2.33,0.9,-0.9,N/A,CONFIRMED+PLATOON,104,,DK vig 101.7%,+0.4%,-0.4%,+0.3%,-0.3%,,235,-270
2026-08-08,Los Angeles Angels,Miami Marlins,None,None,142,-153,135,-160,N/A,N/A,N/A,N/A,Walbert Ureña,R,49.7,93.6,2069.0,11.5,Sandy Alcantara,R,0,None,None,None,0.71,0.751,2.6,3.18,-1.8,1.8,N/A,CONFIRMED+PLATOON,96,,DK vig 101.8%,N/A,N/A,N/A,N/A,,140,-150
2026-08-08,Toronto Blue Jays,Philadelphia Phillies,61.1,38.9,152,-163,145,-175,+21.4%,+20.3%,-23.1%,-24.7%,Max Scherzer,R,15.3,87.8,2234.0,7.4,Aaron Nola,R,60.0,85.9,2288.0,10.8,0.824,0.763,2.52,2.8,5.3,-5.3,CONFIRMED ✓,CONFIRMED+PLATOON,105,,DK vig 101.7%,+22.1%,-22.1%,+22.0%,-22.0%,,150,-160
2026-08-08,New York Mets,Pittsburgh Pirates,38.6,61.4,117,-125,105,-130,-7.5%,-10.2%,+5.8%,+4.9%,Robert Stock,R,2.5,91.2,2241.0,15.5,Bubba Chandler,R,55.2,94.7,2354.0,9.8,0.685,0.789,3.6,4.88,0.6,-0.8,N/A,CONFIRMED+PLATOON,98,,DK vig 101.7%,-6.7%,+6.7%,-7.7%,+7.7%,Pittsburgh Pirates,110,-121
2026-08-08,Cincinnati Reds,Washington Nationals,56.2,43.8,-140,131,-155,125,-2.1%,-4.6%,+0.5%,-0.6%,Chase Burns,R,59.3,94.4,2637.0,12.7,Andrew Alvarez,L,32.0,87.3,2493.0,9.3,0.763,0.711,3.4,4.5,9.6,-9.8,CONFIRMED ✓,CONFIRMED+PLATOON,99,,DK vig 101.6%,-1.2%,+1.2%,-1.6%,+1.6%,,-142,132
2026-08-08,Chicago Cubs,Kansas City Royals,53.1,46.9,-154,143,-165,135,-7.5%,-9.2%,+5.7%,+4.3%,Clay Holmes,R,26.3,89.3,2190.0,7.7,Seth Lugo,R,64.3,85.6,2513.0,7.2,0.73,0.726,2.77,5.54,-1.6,1.6,FADE ✗,CONFIRMED+PLATOON,99,,DK vig 101.8%,-6.4%,+6.4%,-6.3%,+6.3%,Kansas City Royals,-159,149
2026-08-08,Minnesota Twins,Milwaukee Brewers,50.5,49.5,131,-140,120,-145,+7.2% ** BET **,+5.0% ** BET **,-8.8%,-9.7%,Taj Bradley,R,63.3,92.8,2177.0,10.2,Robert Gasser,L,31.2,88.1,2276.0,9.8,0.813,0.781,4.59,3.19,3.8,-3.9,CONFIRMED ✓,CONFIRMED+PLATOON,100,** BET **,DK vig 101.6%,+7.9%,-7.9%,+7.0%,-7.0%,Minnesota Twins,125,-135
2026-08-08,Houston Astros,San Diego Padres,None,None,107,-115,100,-120,N/A,N/A,N/A,N/A,Peter Lambert,R,54.3,89.3,2223.0,10.8,Michael King,R,0,None,None,None,0.782,0.731,3.11,5.16,0.5,-0.4,N/A,CONFIRMED+PLATOON,94,,DK vig 101.8%,N/A,N/A,N/A,N/A,,110,-121
2026-08-08,Detroit Tigers,San Francisco Giants,53.9,46.1,-114,106,-120,100,+0.6%,-0.6%,-2.4%,-3.9%,Jackson Jobe,R,0,None,None,None,Landen Roupp,R,59.2,87.1,2330.0,9.3,0.81,0.743,2.6,4.38,-2.9,2.9,FADE ✗,CONFIRMED+PLATOON,95,,DK vig 101.8%,+1.5%,-1.5%,+1.7%,-1.7%,,-115,105
2026-08-08,Colorado Rockies,St. Louis Cardinals,43.4,56.6,138,-148,135,-160,+1.4%,+0.8%,-3.1%,-4.9%,Kyle Freeland,L,54.2,87.1,2260.0,9.9,Matthew Liberatore,L,54.3,89.0,2365.0,9.6,0.753,0.718,5.4,3.12,2.2,-2.2,FADE ✗,CONFIRMED+PLATOON,98,,DK vig 101.7%,+2.1%,-2.1%,+2.5%,-2.5%,,143,-153
2026-08-08,Baltimore Orioles,Texas Rangers,41.5,58.5,136,-146,125,-150,-0.9%,-2.9%,-0.8%,-1.5%,Kyle Bradish,R,60.5,90.5,2437.0,8.4,Jacob deGrom,R,56.8,93.0,2445.0,15.5,0.682,0.72,3.78,3.29,-1.3,1.2,N/A,CONFIRMED+PLATOON,103,,DK vig 101.7%,-0.2%,+0.2%,-1.0%,+1.0%,,135,-145
2026-08-08,Cleveland Guardians,Chicago White Sox,53.3,46.7,-125,117,-135,110,-2.3%,-4.1%,+0.6%,-0.9%,Gavin Williams,R,69.5,90.9,2274.0,13.6,Anthony Kay,L,55.0,90.0,2278.0,9.6,0.738,0.746,5.24,5.63,-2.1,2.0,FADE ✗,CONFIRMED+PLATOON,99,,DK vig 101.7%,-1.4%,+1.4%,-1.4%,+1.4%,,-127,117
2026-08-08,Los Angeles Dodgers,Arizona Diamondbacks,60.7,39.3,-201,187,-210,170,-6.1%,-7.0%,+4.5% ** BET **,+2.3%,Yoshinobu Yamamoto,R,66.8,91.1,2176.0,10.7,Brandon Pfaadt,R,39.3,89.0,2447.0,8.6,0.782,0.743,6.44,4.65,5.7,-8.6,CONFIRMED ✓,CONFIRMED+PLATOON,97,** BET **,DK vig 101.6%,-5.0%,+5.0%,-4.0%,+4.0%,Arizona Diamondbacks,-203,183
2026-08-08,Tampa Bay Rays,Seattle Mariners,50.4,49.6,105,-112,-102,-118,+1.6%,-0.1%,-3.2%,-4.5%,Griffin Jax,R,45.8,91.5,2541.0,13.2,George Kirby,R,63.5,91.9,2261.0,10.6,0.732,0.727,3.7,4.83,-0.2,0.0,N/A,PARTIAL,96,,DK vig 101.6%,+2.4%,-2.4%,+2.1%,-2.1%,,105,-115
