Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk
2026-08-18,New York Yankees,Baltimore Orioles,49.8,50.2,-117,-103,-118,-102,-4.1%,-4.3%,-0.5%,-0.3%,Carlos Rodón,L,23.2,90.7,2306.0,11.6,Shane Baz,R,69.7,90.7,2406.0,8.4,0.716,0.72,2.38,5.02,-10.5,10.6,CONFIRMED ✓,ESTIMATED,102,,,-1.7%,+1.7%,-1.9%,+1.9%,,-111,101,1,824803
2026-08-18,Detroit Tigers,Pittsburgh Pirates,48.9,51.1,118,-142,115,-140,+3.0% ** BET **,+2.4%,-7.6%,-7.2%,Keider Montero,R,64.3,89.8,2349.0,7.8,Braxton Ashcraft,R,70.7,92.5,2471.0,11.7,0.728,0.743,4.71,4.28,-9.3,9.2,CONFIRMED ✓,ESTIMATED,98,** BET **,,+5.0%,-5.0%,+4.5%,-4.5%,Detroit Tigers,125,-135,1,823341
2026-08-18,San Francisco Giants,Cleveland Guardians,36.9,63.1,158,-193,154,-190,-1.9%,-2.5%,-2.8%,-2.4%,Carson Whisenhunt,L,14.0,87.2,2173.0,11.8,Foster Griffin,L,69.2,85.8,2164.0,9.5,0.714,0.682,4.25,3.98,0.0,0.0,N/A,ESTIMATED,98,,,-0.2%,+0.2%,-0.7%,+0.7%,,165,-180,1,824398
2026-08-18,St. Louis Cardinals,Cincinnati Reds,54.3,45.7,-123,102,-120,100,-0.9%,-0.2%,-3.8%,-4.3%,Kyle Leahy,R,58.7,89.5,2178.0,8.4,Andrew Abbott,L,66.5,87.3,2450.0,8.3,0.699,0.699,2.41,4.68,0.8,2.1,FADE ✗,ESTIMATED,106,,,+1.6%,-1.6%,+2.1%,-2.1%,,-115,105,1,824475
2026-08-18,Toronto Blue Jays,Tampa Bay Rays,40.5,59.5,124,-150,125,-150,-4.1%,-3.9%,-0.5%,-0.5%,José Soriano,R,66.8,92.6,2052.0,12.3,Nick Martinez,R,69.0,86.9,2191.0,7.6,0.678,0.74,2.81,5.48,-4.4,4.2,CONFIRMED ✓,ESTIMATED,98,,,-2.1%,+2.1%,-2.0%,+2.0%,,130,-140,1,822938
2026-08-18,Miami Marlins,Philadelphia Phillies,43.6,56.4,205,-254,200,-250,+10.8%,+10.3%,-15.4%,-15.0%,Cade Gibson,L,16.8,84.9,2769.0,7.9,Zack Wheeler,R,57.7,90.1,2368.0,13.2,0.731,0.712,3.39,3.69,-6.7,6.7,CONFIRMED ✓,ESTIMATED,105,,,+12.2%,-12.2%,+11.8%,-11.8%,,215,-245,1,823423
2026-08-18,Arizona Diamondbacks,Boston Red Sox,40.3,59.7,141,-171,140,-170,-1.2%,-1.4%,-3.4%,-3.3%,Merrill Kelly,R,62.5,89.2,2316.0,9.6,Ranger Suarez,L,54.0,86.0,1978.0,9.4,0.712,0.724,3.84,3.49,-2.0,2.0,CONFIRMED ✓,ESTIMATED,104,,,+0.6%,-0.6%,+0.5%,-0.5%,,150,-160,1,824723
2026-08-18,San Diego Padres,New York Mets,44.6,55.4,-118,-102,-118,-102,-9.5%,-9.5%,+4.9%,+4.9%,Robbie Ray,L,65.8,88.5,2134.0,10.1,Zac Thornton,L,22.7,87.5,2350.0,8.1,0.703,0.696,2.57,3.39,4.1,-4.1,FADE ✗,ESTIMATED,97,,,-7.1%,+7.1%,-7.1%,+7.1%,,-115,105,1,823586
2026-08-18,Athletics,Kansas City Royals,None,None,113,-136,115,-140,N/A,N/A,N/A,N/A,Jack Perkins,R,40.8,91.1,2228.0,11.7,TBD,R,0,None,None,None,0.721,0.705,6.82,3.88,8.9,-8.8,N/A,ESTIMATED,99,,,N/A,N/A,N/A,N/A,,120,-130,1,824075
2026-08-18,Atlanta Braves,Minnesota Twins,54.6,45.4,-131,109,-135,110,-2.1%,-2.8%,-2.4%,-2.2%,Tyler Mahle,R,53.3,89.5,2169.0,9.4,Zebby Matthews,R,45.5,89.8,2244.0,8.4,0.728,0.725,4.35,5.71,-0.2,0.0,N/A,ESTIMATED,100,,,+0.3%,-0.3%,-0.1%,+0.1%,,-125,115,1,823667
