Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning,Devig DK Edge Away,Devig DK Edge Home,Devig MGM Edge Away,Devig MGM Edge Home,Devig Bet,CZR Away Odds,CZR Home Odds,Game#,GamePk,DK RL Away,DK RL Home,MGM RL Away,MGM RL Home
2026-09-12,Colorado Rockies,Detroit Tigers,36.3,63.7,138,-168,135,-165,-5.7%,-6.3%,+1.0%,+1.4%,Tanner Gordon,R,46.7,88.6,2163.0,10.0,Andrew Sears,L,6.2,89.5,2177.0,11.9,0.73,0.76,7.74,2.0,1.0,-0.9,N/A,CONFIRMED+PLATOON,100,,,-3.8%,+3.8%,-4.3%,+4.3%,Detroit Tigers,140,-165,1,824224,+1.5@-155,-1.5@128,+1.5@-155,-1.5@125
2026-09-12,New York Mets,New York Yankees,41.4,58.6,141,-171,135,-165,-0.1%,-1.2%,-4.5%,-3.7%,Zac Thornton,L,33.2,87.3,2350.0,8.6,Gerrit Cole,R,55.5,92.1,2371.0,10.3,0.742,0.818,6.79,2.38,1.7,-1.7,FADE ✗,CONFIRMED+PLATOON,101,,,+1.7%,-1.7%,+0.8%,-0.8%,,140,-165,1,823496,+1.5@-151,-1.5@125,+1.5@-150,-1.5@125
2026-09-12,Pittsburgh Pirates,Chicago Cubs,40.9,59.1,104,-126,105,-125,-8.1%,-7.9%,+3.3% ** BET **,+3.5% ** BET **,Paul Skenes,R,77.5,92.6,2100.0,12.6,Clay Holmes,R,43.0,88.8,2168.0,7.8,0.732,0.771,3.91,5.26,0.0,0.0,N/A,ESTIMATED,104,** BET **,,-5.9%,+5.9%,-5.8%,+5.8%,Chicago Cubs,105,-125,1,824630,+1.5@-188,-1.5@155,+1.5@-190,-1.5@155
2026-09-12,Baltimore Orioles,Toronto Blue Jays,35.0,65.0,109,-131,105,-130,-12.8%,-13.8%,+8.3%,+8.5%,Kyle Bradish,R,76.0,90.7,2424.0,8.4,Spencer Miles,R,43.8,90.9,2454.0,7.5,0.711,0.741,4.0,4.35,-3.4,3.2,CONFIRMED ✓,PARTIAL,100,,,-10.7%,+10.7%,-11.3%,+11.3%,,110,-130,1,822768,+1.5@-199,-1.5@163,+1.5@-200,-1.5@165
2026-09-12,Los Angeles Angels,Washington Nationals,44.0,56.0,105,-127,105,-125,-4.8%,-4.8%,+0.1%,+0.4%,Walbert Ureña,R,65.7,94.0,2080.0,11.1,Andrew Alvarez,L,47.5,87.3,2486.0,8.2,0.681,0.749,2.82,6.06,-1.7,1.8,CONFIRMED ✓,ESTIMATED,99,,,-2.6%,+2.6%,-2.7%,+2.7%,,105,-125,1,822685,+1.5@-205,-1.5@167,-1.5@165,+1.5@-200
2026-09-12,San Diego Padres,San Francisco Giants,37.1,62.9,-186,153,-185,150,-27.9%,-27.8%,+23.4%,+22.9%,Michael King,R,84.0,89.0,2289.0,10.1,Cesar Perdomo,L,5.0,89.5,2054.0,15.6,0.704,0.716,3.33,3.44,3.5,-3.6,FADE ✗,ESTIMATED,95,,,-25.1%,+25.1%,-24.8%,+24.8%,,-190,158,1,823170,-1.5@-105,+1.5@-114,-1.5@-105,+1.5@-115
2026-09-12,Kansas City Royals,Boston Red Sox,46.2,53.8,183,-225,180,-220,+10.9%,+10.5%,-15.4%,-15.0%,Randy Dobnak,R,31.8,87.5,2020.0,7.8,Ranger Suarez,L,65.3,85.9,1976.0,8.5,0.719,0.726,2.21,3.0,-3.4,3.5,CONFIRMED ✓,ESTIMATED,104,,,+12.4%,-12.4%,+12.0%,-12.0%,,192,-235,1,824712,+1.5@-115,-1.5@-105,+1.5@-118,-1.5@-102
2026-09-12,Cleveland Guardians,Minnesota Twins,59.3,40.7,-108,-111,-110,-110,+7.4%,+6.9%,-11.9%,-11.7%,Daniel Espino,R,5.0,94.6,2408.0,16.9,Connor Prielipp,L,54.0,90.0,2602.0,9.4,0.687,0.724,4.92,5.65,0.0,-0.2,N/A,ESTIMATED,100,,,+9.6%,-9.6%,+9.3%,-9.3%,,-110,-110,1,823657,-1.5@149,+1.5@-181,,
2026-09-12,Los Angeles Dodgers,Miami Marlins,52.2,47.8,-192,157,-190,154,-13.6%,-13.3%,+8.9%,+8.4%,Tyler Glasnow,R,28.8,90.8,2629.0,11.1,Tyler Phillips,R,57.7,88.7,2062.0,9.6,0.759,0.728,2.83,7.33,-1.1,1.3,N/A,ESTIMATED,96,,,-10.6%,+10.6%,-10.2%,+10.2%,,-190,158,1,823819,-1.5@-107,+1.5@-112,-1.5@-102,+1.5@-118
2026-09-12,Houston Astros,Tampa Bay Rays,44.9,55.1,120,-145,120,-145,-0.6%,-0.6%,-4.1%,-4.1%,Peter Lambert,R,69.8,89.3,2207.0,10.6,Ian Seymour,L,58.2,86.2,1974.0,13.0,0.724,0.732,4.05,2.72,0.6,-0.7,N/A,ESTIMATED,98,,,+1.4%,-1.4%,+1.4%,-1.4%,,122,-145,1,822927,+1.5@-174,-1.5@144,+1.5@-170,-1.5@140
